StationID,maximum_power_kw,fast_charging_connector_type,supply_voltage_v,output_current_a,session_energy_consumed_kwh,charger_temperature_celsius,battery_soc_percent,charging_session_duration_min,charging_state,connector_standard,grid_power_load_kw
305756,7.2,0,228.2,29.85,18.3,30.8,32.6,171.9,94.1,Type 2 (Socket Only),7.4
305740,150.0,6,802.1,187.39,32.89,26.6,50.1,14.3,90.7,CCS (Type 2),133.39
305603,22.0,0,230.5,93.72,24.91,33.6,54.9,74.7,97.6,Type 2 (Socket Only),20.26
305554,11.0,0,218.6,50.89,17.19,24.1,65.5,88.7,97.0,Type 2 (Socket Only),9.46
305553,22.0,0,225.6,98.57,17.72,24.2,51.6,44.2,96.3,Type 2 (Socket Only),18.73
305552,22.0,0,230.9,94.89,15.02,27.2,40.7,34.8,94.4,Type 2 (Socket Only),22.83
305538,5.0,0,220.8,24.49,17.52,22.4,55.2,192.1,97.9,Type 2 (Socket Only),4.63
305536,120.0,1,433.7,275.77,32.45,24.0,14.1,15.8,93.4,CCS (Type 2),104.77
305450,22.0,0,233.0,95.22,19.97,9.5,33.2,51.8,94.6,Type 2 (Socket Only),20.88
305449,7.0,0,225.2,27.59,12.04,28.4,35.1,108.8,98.1,Type 2 (Socket Only),6.65
305441,3.0,0,227.7,11.86,18.1,25.1,28.0,317.6,97.0,Type 2 (Socket Only),2.99
305401,22.0,0,225.2,97.31,24.89,19.6,63.8,68.2,95.7,Type 2 (Socket Only),22.77
305161,11.0,0,244.8,49.36,14.17,16.2,62.6,66.1,94.8,Type 2 (Socket Only),10.11
305125,22.0,0,229.9,96.35,14.64,25.6,22.8,40.2,96.6,Type 2 (Socket Only),21.13
305019,22.0,0,221.5,99.58,16.61,21.1,57.5,48.5,95.7,Type 2 (Socket Only),21.87
304999,3.4,0,236.6,17.12,32.15,17.5,25.1,480.0,96.4,Type 2 (Socket Only),3.43
304969,3.0,0,220.2,11.05,14.44,14.4,33.7,247.1,97.4,Type 2 (Socket Only),2.9
304951,22.0,0,231.7,96.42,26.16,27.3,34.8,65.9,97.1,Type 2 (Socket Only),22.11
304946,3.0,0,214.3,15.36,15.77,18.4,25.0,328.8,96.9,Type 2 (Socket Only),2.88
304945,3.0,0,219.4,11.95,15.01,4.0,5.7,323.6,97.6,Type 2 (Socket Only),2.93
304909,100.0,2,394.6,255.06,51.05,30.4,21.7,32.5,96.9,"CCS (Type 2), Type 2 (Socket Only)",98.84
304805,350.0,24,785.9,441.26,20.56,23.1,33.5,5.0,94.7,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",346.4
304650,50.0,1,389.6,129.8,23.21,17.0,51.2,31.0,93.5,"CCS (Type 2), Type 2 (Tethered Connector)",43.66
304647,150.0,1,790.3,195.03,51.59,22.7,63.1,21.1,91.0,CCS (Type 2),132.9
304458,6.0,0,231.6,28.27,22.23,21.7,64.9,189.0,97.1,Type 2 (Socket Only),5.44
304410,50.0,2,412.5,121.38,22.21,20.5,71.4,28.7,95.6,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",43.02
304408,60.0,2,397.1,149.4,33.25,13.6,7.4,29.1,91.9,"CCS (Type 2), Type 2 (Socket Only)",53.06
304406,50.0,2,410.8,126.95,31.6,21.8,87.7,43.0,92.6,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",48.34
304405,50.0,2,415.9,113.36,43.22,20.7,6.9,47.0,93.5,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",47.0
304385,50.0,2,412.9,119.5,35.35,23.5,54.0,39.8,93.5,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",46.6
304384,50.0,2,394.8,126.15,38.18,26.7,68.5,43.8,97.4,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",49.69
304288,160.0,2,818.2,193.77,44.48,21.3,35.5,17.4,93.9,"CCS (Type 2), CHAdeMO",152.77
304037,50.0,2,381.6,129.81,12.25,19.8,35.9,16.1,91.4,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",41.56
303842,75.0,4,419.8,182.15,34.47,33.1,45.6,29.2,95.0,"CCS (Type 2), Type 2 (Socket Only)",69.93
303742,7.0,0,235.9,28.44,20.35,14.1,43.1,199.6,96.5,Type 2 (Socket Only),6.77
303741,7.0,0,231.4,31.62,23.55,28.4,69.0,189.2,94.9,Type 2 (Socket Only),6.21
303733,50.0,2,384.1,129.9,23.86,26.2,73.8,29.4,89.4,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",39.55
303718,7.0,0,229.1,28.87,20.88,18.0,56.8,179.9,95.7,Type 2 (Socket Only),7.08
303425,7.0,0,227.6,34.88,11.7,26.0,57.9,89.8,95.1,Type 2 (Socket Only),6.29
303424,7.0,0,218.2,30.87,17.74,38.6,5.0,158.2,94.6,Type 2 (Socket Only),6.52
303367,60.0,8,424.4,145.01,22.89,11.1,48.9,24.3,93.1,"CCS (Type 2), CHAdeMO",59.97
303307,7.0,0,224.2,34.14,14.46,14.3,87.3,107.1,95.4,Type 2 (Socket Only),6.34
303145,50.0,2,398.4,122.71,42.18,28.0,58.7,48.7,94.2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",45.42
303021,150.0,2,792.0,189.19,60.13,17.1,29.1,27.3,92.1,CCS (Type 2),134.35
302746,50.0,2,396.8,132.63,33.81,13.6,57.3,45.1,92.0,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.12
302490,350.0,2,814.7,428.07,52.91,37.4,36.5,9.0,92.0,"CCS (Type 2), CHAdeMO",333.24
302489,150.0,2,797.2,190.11,45.5,32.5,37.4,15.6,92.1,"CCS (Type 2), CHAdeMO",146.22
302224,3.0,0,226.3,15.4,29.72,22.5,27.2,480.0,95.0,Type 2 (Socket Only),2.73
301905,22.0,0,238.5,90.77,20.07,23.3,18.4,52.2,98.5,Type 2 (Socket Only),20.33
301864,22.0,0,232.7,96.64,8.42,25.6,52.0,24.5,97.4,Type 2 (Socket Only),23.57
301670,22.0,0,215.9,97.69,16.75,30.4,54.7,48.6,97.4,Type 2 (Socket Only),22.42
301668,350.0,2,791.8,444.69,45.57,36.0,43.5,8.2,93.4,CCS (Type 2),329.01
301667,350.0,1,817.8,428.35,98.0,32.0,48.0,15.1,90.1,CCS (Type 2),317.54
301642,50.0,4,393.8,120.95,29.81,18.3,42.8,38.8,93.8,CCS (Type 2),48.11
301312,300.0,16,835.4,358.14,54.38,16.1,38.8,12.0,92.3,"CCS (Type 2), CHAdeMO",279.5
301309,150.0,4,806.8,181.52,66.3,36.3,18.1,29.2,93.3,CCS (Type 2),141.1
301292,300.0,8,812.5,366.57,52.0,27.6,45.3,11.5,94.5,"CCS (Type 2), CHAdeMO",266.28
301287,170.0,12,822.8,205.46,29.35,15.6,29.2,11.1,96.5,"CCS (Type 2), CHAdeMO",178.95
301158,22.0,0,232.6,96.59,20.39,24.5,82.2,58.4,95.0,Type 2 (Socket Only),21.88
301157,22.0,0,226.9,93.58,14.14,33.1,26.9,42.4,94.4,Type 2 (Socket Only),22.51
301156,22.0,0,224.6,96.69,14.38,15.6,40.2,43.3,95.5,Type 2 (Socket Only),19.01
300817,22.0,0,234.9,90.04,14.91,15.7,40.3,39.7,96.2,Type 2 (Socket Only),20.69
300816,50.0,2,400.9,122.18,23.22,25.9,59.5,28.7,95.3,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",44.55
300815,7.0,0,238.2,33.77,16.61,20.2,5.0,150.0,97.6,Type 2 (Socket Only),7.21
300789,350.0,6,794.6,441.28,62.86,34.3,53.0,9.8,94.0,CCS (Type 2),349.74
300778,150.0,12,800.4,183.26,27.77,35.2,82.0,11.7,91.0,"CCS (Type 2), CHAdeMO",130.54
300776,60.0,8,392.3,156.42,32.5,17.0,51.2,32.5,93.7,"CCS (Type 2), CHAdeMO",57.13
300775,60.0,6,405.4,151.28,26.53,24.1,68.4,29.9,95.6,"CCS (Type 2), CHAdeMO",55.96
300774,60.0,8,399.1,149.48,32.93,20.0,91.5,35.9,94.1,"CCS (Type 2), CHAdeMO",57.64
300748,22.0,0,237.5,95.12,17.26,29.3,38.1,49.3,96.0,Type 2 (Socket Only),20.83
300447,22.0,0,223.3,103.48,15.09,22.1,7.7,39.4,97.6,Type 2 (Socket Only),22.7
300444,22.0,0,227.5,96.93,8.66,18.5,61.7,22.9,96.1,Type 2 (Socket Only),22.55
300433,7.0,0,232.7,27.4,21.88,20.7,56.5,183.2,96.1,Type 2 (Socket Only),7.26
300167,7.0,0,237.8,31.84,19.82,18.1,47.9,191.1,98.1,Type 2 (Socket Only),6.08
300163,75.0,6,387.0,191.83,43.21,22.2,47.8,37.4,94.4,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",76.08
299983,7.0,0,226.2,28.93,22.41,22.6,54.8,206.4,92.3,Type 2 (Socket Only),6.69
299846,148.0,10,388.6,378.23,42.12,34.9,44.0,16.0,96.7,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",148.1
299836,60.0,6,396.5,153.28,33.85,24.2,17.7,36.3,94.5,"CCS (Type 2), CHAdeMO",59.44
299760,7.0,0,228.5,33.72,19.66,25.2,74.4,169.0,96.6,Type 2 (Socket Only),7.26
299758,22.0,0,221.1,98.56,11.97,14.9,66.2,33.6,96.7,Type 2 (Socket Only),22.79
299585,11.0,0,220.4,53.57,16.62,17.5,66.9,85.0,96.3,Type 2 (Socket Only),9.3
299472,100.0,4,373.7,266.39,26.94,20.1,76.6,14.1,94.3,"CCS (Type 2), CHAdeMO",97.0
299452,180.0,1,781.3,230.03,53.2,24.1,33.4,19.0,91.9,CCS (Type 2),176.46
299319,300.0,24,809.2,367.92,47.96,27.2,28.9,9.9,91.2,"CCS (Type 2), CHAdeMO",294.9
299316,60.0,6,381.1,155.9,26.93,17.3,5.0,28.0,93.6,"CCS (Type 2), CHAdeMO",54.5
299306,250.0,1,785.3,321.46,78.03,33.3,22.6,18.6,90.6,CCS (Type 2),244.96
299288,250.0,1,815.8,304.85,56.01,16.6,29.2,14.2,90.9,CCS (Type 2),223.3
299287,300.0,7,790.4,377.09,61.9,24.1,38.4,11.7,95.5,CCS (Type 2),284.76
298938,60.0,1,415.1,141.7,36.35,25.4,19.6,38.5,92.1,"CCS (Type 2), Type 2 (Socket Only)",60.33
298925,60.0,6,414.6,139.21,38.95,23.8,41.6,37.3,93.9,"CCS (Type 2), CHAdeMO",59.27
298924,60.0,4,411.2,142.99,45.75,20.7,30.9,41.1,93.7,"CCS (Type 2), CHAdeMO",57.99
298923,60.0,8,408.1,142.67,29.84,24.9,32.1,26.9,91.2,"CCS (Type 2), CHAdeMO",56.06
298922,160.0,2,804.9,196.72,79.83,28.7,44.7,28.4,92.0,"CCS (Type 2), CHAdeMO",144.29
297949,7.0,0,236.5,28.87,19.49,29.1,33.1,143.3,97.2,Type 2 (Socket Only),6.57
297932,7.0,0,240.8,28.21,23.84,16.1,5.0,201.5,96.9,Type 2 (Socket Only),6.99
297931,60.0,1,405.7,148.5,34.74,26.2,55.4,36.5,93.2,CCS (Type 2),53.53
297930,300.0,1,796.9,377.71,78.83,34.6,72.5,14.8,90.9,CCS (Type 2),238.19
297929,150.0,12,824.0,178.92,69.1,20.7,29.3,29.6,88.6,"CCS (Type 2), CHAdeMO",118.64
297860,75.0,1,405.6,188.8,30.72,22.8,38.7,28.2,96.7,CCS (Type 2),71.76
297847,60.0,8,392.1,155.07,30.96,32.2,52.3,31.0,97.4,"CCS (Type 2), CHAdeMO",55.99
297846,60.0,6,412.5,147.9,21.68,15.5,62.8,21.9,94.3,"CCS (Type 2), CHAdeMO",58.24
297844,150.0,4,828.7,180.93,56.39,28.4,48.9,24.5,91.7,CCS (Type 2),142.96
297841,100.0,4,388.7,259.62,38.5,28.5,87.7,23.5,95.3,"CCS (Type 2), CHAdeMO",95.15
297808,150.0,1,809.0,191.07,43.32,18.3,25.6,15.5,91.4,CCS (Type 2),134.96
297807,150.0,1,793.3,192.05,52.18,35.5,50.5,18.0,92.3,CCS (Type 2),142.41
297706,250.0,1,817.3,307.9,50.45,29.3,46.4,12.0,92.9,CCS (Type 2),227.98
297692,150.0,1,819.4,176.45,62.34,26.3,60.3,24.3,93.0,CCS (Type 2),131.32
297664,100.0,2,430.4,234.26,40.3,28.2,51.2,21.4,95.3,CCS (Type 2),98.94
297663,60.0,1,393.9,153.23,44.74,30.0,40.1,48.5,93.1,CCS (Type 2),55.46
297662,100.0,1,388.7,255.68,45.66,24.9,40.6,24.1,94.0,CCS (Type 2),101.4
297563,120.0,2,439.4,271.2,43.51,27.7,16.3,23.8,93.4,"CCS (Type 2), CHAdeMO",123.84
297562,150.0,1,777.4,195.24,46.86,27.8,51.8,17.8,92.7,CCS (Type 2),133.82
297561,120.0,1,387.2,314.5,51.84,14.3,63.6,27.2,94.3,CCS (Type 2),111.63
297560,250.0,1,808.0,309.01,68.24,33.3,26.0,14.8,91.6,CCS (Type 2),228.29
297547,150.0,1,809.0,183.97,53.68,28.3,71.5,18.5,91.5,CCS (Type 2),136.34
297446,50.0,2,409.6,119.32,36.9,20.9,62.0,46.0,92.5,"CCS (Type 2), CHAdeMO",44.97
297436,160.0,2,794.5,196.74,34.79,27.1,43.0,13.3,93.7,"CCS (Type 2), CHAdeMO",138.72
297434,25.0,0,229.4,108.67,28.01,14.4,22.8,76.4,98.9,"CCS (Type 2), Type 2 (Socket Only)",26.02
297433,180.0,12,796.1,228.24,42.44,38.5,44.6,15.3,91.7,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",174.15
297369,150.0,4,783.4,193.0,28.36,22.6,31.6,10.9,91.7,CCS (Type 2),149.69
297368,7.4,0,238.0,28.17,19.93,14.5,71.9,182.1,96.8,Type 2 (Socket Only),7.14
297265,22.0,0,232.9,96.01,17.91,22.8,23.9,53.4,99.5,Type 2 (Socket Only),20.27
297241,5.0,0,224.8,21.62,6.07,12.8,9.7,69.2,97.0,Type 2 (Socket Only),5.09
297216,5.0,0,232.9,17.23,19.49,21.9,22.1,233.9,95.8,Type 2 (Socket Only),4.42
297167,175.0,2,807.3,211.05,49.34,12.3,52.1,19.3,91.1,"CCS (Type 2), CHAdeMO",152.84
297143,160.0,2,786.6,203.99,54.09,23.8,84.4,22.8,90.8,"CCS (Type 2), CHAdeMO",151.43
297141,60.0,2,404.2,153.35,35.75,13.1,90.2,32.5,91.2,"CCS (Type 2), CHAdeMO",51.82
297140,160.0,2,810.6,191.8,62.88,19.8,38.2,21.2,91.6,"CCS (Type 2), CHAdeMO",148.76
297139,120.0,2,407.9,295.26,36.69,30.8,60.3,16.9,93.5,"CCS (Type 2), CHAdeMO",107.26
297138,120.0,2,413.9,289.63,34.91,32.9,11.1,15.3,95.8,"CCS (Type 2), CHAdeMO",115.35
297137,160.0,2,804.4,198.36,51.04,30.5,50.5,18.0,94.0,"CCS (Type 2), CHAdeMO",150.77
297136,160.0,4,779.6,206.89,82.92,25.6,87.2,33.7,91.4,"CCS (Type 2), CHAdeMO",147.79
297115,11.0,0,242.3,43.09,13.64,27.7,33.6,69.6,96.7,Type 2 (Socket Only),10.11
297106,150.0,2,791.7,191.73,64.36,27.7,39.1,29.5,92.4,"CCS (Type 2), CHAdeMO",141.75
297096,22.0,0,229.7,98.38,16.91,20.2,82.1,46.9,97.1,Type 2 (Socket Only),22.03
297081,5.1,0,242.5,23.9,14.43,20.3,59.3,181.4,95.6,Type 2 (Socket Only),5.18
296973,250.0,1,821.2,306.54,46.3,30.4,26.7,9.6,92.2,CCS (Type 2),223.64
296969,22.0,0,209.0,102.88,6.95,17.3,27.0,19.3,96.0,Type 2 (Socket Only),20.31
296968,350.0,1,785.4,444.78,61.17,28.0,41.2,8.9,94.8,CCS (Type 2),308.64
296913,60.0,6,409.6,143.63,35.12,14.9,20.3,35.8,92.4,"CCS (Type 2), CHAdeMO",61.37
296866,7.0,0,236.6,28.33,22.32,22.9,46.0,194.9,96.1,Type 2 (Socket Only),6.44
296861,22.0,0,230.7,94.12,15.65,19.0,5.9,45.9,95.7,Type 2 (Socket Only),22.84
296416,50.0,1,381.7,133.15,28.29,7.6,34.6,32.6,96.9,CCS (Type 2),48.44
296415,50.0,1,404.1,123.58,36.96,32.4,48.8,40.7,95.2,CCS (Type 2),44.71
296379,50.0,1,403.7,118.74,43.42,20.2,36.9,58.5,92.0,CCS (Type 2),46.87
296316,250.0,1,789.1,317.78,32.58,35.5,61.5,7.6,92.6,CCS (Type 2),229.05
296315,250.0,1,799.6,311.78,26.35,27.3,38.0,7.1,91.0,CCS (Type 2),233.35
296306,150.0,4,813.7,186.95,68.84,21.1,29.2,31.2,92.3,"CCS (Type 2), CHAdeMO",131.73
296305,50.0,2,409.3,123.67,28.23,18.2,44.6,29.9,94.0,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",47.25
296300,160.0,2,797.6,198.77,59.41,31.2,46.2,22.9,92.4,"CCS (Type 2), CHAdeMO",152.57
296272,150.0,2,778.5,193.37,64.28,20.9,29.1,28.1,91.4,"CCS (Type 2), CHAdeMO",147.43
296203,50.0,3,399.9,129.68,38.56,14.1,85.0,49.0,93.0,"CCS (Type 2), CHAdeMO, Type 2 (Tethered Connector)",47.34
296202,75.0,4,390.1,186.89,20.38,14.9,79.4,14.6,97.3,"CCS (Type 2), CHAdeMO",74.97
296104,7.0,0,227.6,32.61,16.63,18.5,31.9,133.3,97.8,Type 2 (Socket Only),7.04
296089,60.0,8,389.3,151.61,31.47,32.6,62.6,31.4,92.5,"CCS (Type 2), CHAdeMO",49.5
296088,60.0,8,398.6,146.77,45.8,6.8,99.0,47.8,94.4,"CCS (Type 2), CHAdeMO",60.35
296087,150.0,24,817.2,183.25,27.47,24.3,62.6,11.1,92.1,"CCS (Type 2), CHAdeMO",123.91
296086,60.0,4,385.5,155.14,36.39,19.5,85.8,34.6,94.8,"CCS (Type 2), CHAdeMO",57.37
296083,300.0,16,836.7,358.59,50.93,33.5,62.9,9.9,91.3,"CCS (Type 2), CHAdeMO",280.5
296082,60.0,6,393.3,152.41,30.52,26.4,22.5,27.7,92.4,"CCS (Type 2), CHAdeMO",52.62
296081,60.0,6,394.3,149.25,37.88,26.8,33.2,41.8,94.1,"CCS (Type 2), CHAdeMO",51.49
296080,60.0,8,396.9,153.54,26.6,26.3,76.7,27.2,95.2,"CCS (Type 2), CHAdeMO",56.03
296076,60.0,8,428.5,138.68,35.66,25.4,56.4,39.6,93.5,"CCS (Type 2), CHAdeMO",61.82
295977,7.0,0,230.7,36.07,24.72,18.9,27.8,231.9,98.3,Type 2 (Socket Only),7.82
295976,7.0,0,214.1,34.44,12.25,24.4,31.9,90.6,93.0,Type 2 (Socket Only),6.37
295974,50.0,2,388.5,131.5,35.38,24.7,36.2,36.1,92.8,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",42.29
295973,7.0,0,228.2,31.24,18.92,19.9,39.1,169.8,95.7,Type 2 (Socket Only),7.15
295924,180.0,1,795.5,231.93,40.84,31.2,34.6,12.5,91.4,CCS (Type 2),179.15
295905,150.0,2,811.9,187.06,58.53,20.9,22.0,26.1,92.9,"CCS (Type 2), CHAdeMO",139.47
295784,22.0,0,232.9,98.4,14.61,31.7,61.4,43.4,97.8,Type 2 (Socket Only),21.88
295756,150.0,2,787.7,192.49,45.14,24.8,67.8,18.1,91.0,"CCS (Type 2), CHAdeMO",141.56
291269,7.4,0,241.8,31.18,26.86,16.8,44.5,202.5,94.6,Type 2 (Socket Only),6.98
291193,120.0,8,367.2,326.5,36.76,27.3,38.4,20.5,92.3,"CCS (Type 2), CHAdeMO",108.01
291064,150.0,1,818.7,184.08,41.99,32.8,27.1,16.5,91.5,CCS (Type 2),142.54
291061,120.0,1,404.1,296.59,39.54,27.2,30.7,21.3,92.9,CCS (Type 2),114.52
291060,120.0,1,390.1,310.47,31.2,26.5,84.0,15.5,94.6,CCS (Type 2),118.72
291059,150.0,1,819.5,183.88,76.53,28.1,39.9,26.7,91.6,CCS (Type 2),148.45
290947,350.0,6,811.6,433.63,74.71,29.8,38.1,13.1,92.7,CCS (Type 2),324.31
290924,75.0,6,413.7,182.96,38.47,23.5,90.6,28.9,91.8,"CCS (Type 2), CHAdeMO",67.39
290923,150.0,4,813.1,183.53,70.29,27.0,41.4,30.2,92.0,CCS (Type 2),135.98
290922,75.0,6,398.0,186.41,35.88,21.5,35.5,31.9,95.2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",72.26
290915,300.0,6,817.0,370.04,52.14,33.8,50.9,11.9,88.9,CCS (Type 2),244.89
290881,50.0,1,401.1,126.76,33.96,25.6,56.4,45.7,93.4,CCS (Type 2),47.54
290879,22.0,0,225.9,96.03,17.45,23.0,29.6,51.6,97.6,Type 2 (Socket Only),22.49
290784,150.0,1,801.1,181.18,66.88,33.0,35.1,22.9,94.0,CCS (Type 2),144.5
290778,300.0,32,768.6,392.29,68.15,33.2,41.6,14.9,91.5,"CCS (Type 2), CHAdeMO",264.55
290763,150.0,1,798.7,191.55,58.86,23.1,69.2,23.0,94.7,CCS (Type 2),137.71
290686,22.0,0,223.5,95.72,15.26,22.2,58.4,36.5,96.2,Type 2 (Socket Only),21.96
290552,150.0,1,790.2,191.12,51.09,21.4,38.6,23.1,90.6,CCS (Type 2),125.35
290551,120.0,1,383.9,316.24,22.74,14.7,32.9,10.9,95.5,CCS (Type 2),110.46
290550,50.0,1,400.7,122.74,36.14,27.6,24.4,48.3,95.5,CCS (Type 2),47.62
290548,150.0,1,794.5,183.07,62.61,33.6,64.2,21.5,94.5,CCS (Type 2),135.49
290547,150.0,1,805.9,190.05,55.93,35.1,46.3,19.9,91.6,CCS (Type 2),136.89
290545,22.0,0,226.0,92.66,13.88,33.6,15.1,38.3,97.2,Type 2 (Socket Only),22.48
290495,22.0,0,237.3,93.22,14.44,21.7,80.2,37.6,95.5,Type 2 (Socket Only),20.5
290492,22.0,0,232.6,96.24,18.12,20.3,5.0,53.1,95.2,Type 2 (Socket Only),21.07
290242,300.0,2,805.1,371.84,80.56,34.3,35.8,15.4,91.7,"CCS (Type 2), CHAdeMO",275.61
290046,22.0,0,225.8,103.9,18.37,31.5,28.0,47.1,91.9,Type 2 (Socket Only),18.82
289990,60.0,6,415.4,144.79,35.2,22.8,49.8,37.9,93.0,"CCS (Type 2), CHAdeMO",54.08
289979,60.0,8,410.6,147.7,18.71,15.3,5.7,19.7,93.5,"CCS (Type 2), CHAdeMO",59.86
289978,60.0,4,402.2,148.06,26.86,25.9,69.0,26.6,93.9,"CCS (Type 2), CHAdeMO",55.18
289936,60.0,6,385.3,156.82,33.42,26.2,5.0,30.0,96.2,"CCS (Type 2), CHAdeMO",59.62
289935,120.0,1,405.9,296.93,22.34,29.5,92.2,11.6,89.7,CCS (Type 2),101.57
