StationID,Operator,UsageType,MaxPowerKW,FastChargeCount,ConnectionTypes,StatusType,Voltage_V,Current_A,Session_Energy_kWh,Temperature_C,SoC_pct,Session_Duration_min,Charging_Efficiency_pct,Connector_Temp_C,Grid_Load_kW
307858,POD Point (UK),Private - For Staff; Visitors or Customers,22.0,0,Type 2 (Socket Only),Operational,225.5,94.66,18.97,17.4,25.9,46.8,96.5,120.0,21.88
307129,evcharge.online,Public,7.0,0,Type 2 (Socket Only),Operational,221.9,33.36,18.66,21.7,42.2,142.8,95.0,48.4,6.45
307077,Zest Charging,Public,100.0,2,CCS (Type 2),Operational,398.5,249.04,33.7,28.4,5.0,22.2,96.9,120.0,105.93
306872,evyve,Public - Pay At Location,75.0,4,"CCS (Type 2), CHAdeMO",Operational,394.0,192.14,33.85,22.3,44.1,27.5,96.4,120.0,78.7
306696,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,408.1,122.26,33.67,32.5,58.0,45.5,92.4,120.0,43.33
306209,POD Point (UK),Public - Membership Required,22.0,0,Type 2 (Socket Only),Operational,232.5,100.12,16.07,20.9,58.6,41.5,97.4,120.0,21.93
306065,BP Pulse (UK),Public - Pay At Location,150.0,4,"CCS (Type 2), CHAdeMO",Operational,833.3,176.79,51.13,29.2,26.0,21.1,89.2,120.0,132.15
306029,ElectRoad (UK),Public - Pay At Location,47.0,1,CCS (Type 2),Operational,222.7,213.09,21.4,14.3,45.7,29.0,94.7,120.0,46.02
306008,Clenergy,Public,3.0,0,Type 2 (Socket Only),Operational,218.7,14.7,21.0,17.5,39.5,433.1,96.0,30.7,2.79
306002,ElectRoad (UK),Public - Pay At Location,45.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,241.7,185.37,21.78,30.0,51.5,27.4,97.7,120.0,43.81
305966,Lidl,Public,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,393.9,128.22,44.42,17.3,46.9,54.0,93.3,120.0,48.18
305756,(Business Owner at Location),Public - Pay At Location,7.2,0,Type 2 (Socket Only),Operational,228.2,29.85,18.3,30.8,32.6,171.9,94.1,54.2,7.4
305740,Smart Charge by Sainsbury's (UK),Public - Pay At Location,150.0,6,CCS (Type 2),Operational,802.1,187.39,32.89,26.6,50.1,14.3,90.7,120.0,133.39
305603,POD Point (UK),Public - Membership Required,22.0,0,Type 2 (Socket Only),Operational,230.5,93.72,24.91,33.6,54.9,74.7,97.6,120.0,20.26
305554,Vend Electric,Public - Membership Required,11.0,0,Type 2 (Socket Only),Operational,218.6,50.89,17.19,24.1,65.5,88.7,97.0,72.9,9.46
305553,Vend Electric,Public - Membership Required,22.0,0,Type 2 (Socket Only),Not Operational,225.6,98.57,17.72,24.2,51.6,44.2,96.3,120.0,18.73
305552,Monta,Private - For Staff; Visitors or Customers,22.0,0,Type 2 (Socket Only),Operational,230.9,94.89,15.02,27.2,40.7,34.8,94.4,120.0,22.83
305538,Clenergy,Public,5.0,0,Type 2 (Socket Only),Operational,220.8,24.49,17.52,22.4,55.2,192.1,97.9,41.4,4.63
305536,EV Point Moldova,Public,120.0,1,CCS (Type 2),Operational,433.7,275.77,32.45,24.0,14.1,15.8,93.4,120.0,104.77
305450,POD Point (UK),Public - Membership Required,22.0,0,Type 2 (Socket Only),Operational,233.0,95.22,19.97,9.5,33.2,51.8,94.6,120.0,20.88
305449,POD Point (UK),Private - For Staff; Visitors or Customers,7.0,0,Type 2 (Socket Only),Operational,225.2,27.59,12.04,28.4,35.1,108.8,98.1,49.8,6.65
305441,Clenergy,Public,3.0,0,Type 2 (Socket Only),Operational,227.7,11.86,18.1,25.1,28.0,317.6,97.0,37.2,2.99
305401,(Unknown Operator),Public - Pay At Location,22.0,0,Type 2 (Socket Only),Operational,225.2,97.31,24.89,19.6,63.8,68.2,95.7,120.0,22.77
305161,Weev,Public - Membership Required,11.0,0,Type 2 (Socket Only),Operational,244.8,49.36,14.17,16.2,62.6,66.1,94.8,62.7,10.11
305125,(Unknown Operator),Public,22.0,0,Type 2 (Socket Only),Operational,229.9,96.35,14.64,25.6,22.8,40.2,96.6,120.0,21.13
305019,Monta,Public - Pay At Location,22.0,0,Type 2 (Socket Only),Operational,221.5,99.58,16.61,21.1,57.5,48.5,95.7,120.0,21.87
304999,Clenergy,Public,3.4,0,Type 2 (Socket Only),Operational,236.6,17.12,32.15,17.5,25.1,480.0,96.4,31.9,3.43
304969,Clenergy,Public,3.0,0,Type 2 (Socket Only),Operational,220.2,11.05,14.44,14.4,33.7,247.1,97.4,26.2,2.9
304951,Tap Electric,Public,22.0,0,Type 2 (Socket Only),Operational,231.7,96.42,26.16,27.3,34.8,65.9,97.1,120.0,22.11
304946,Clenergy,Public,3.0,0,Type 2 (Socket Only),Operational,214.3,15.36,15.77,18.4,25.0,328.8,96.9,31.9,2.88
304945,Clenergy,Public,3.0,0,Type 2 (Socket Only),Operational,219.4,11.95,15.01,4.0,5.7,323.6,97.6,16.1,2.93
304909,Wenea,Public - Pay At Location,100.0,2,"CCS (Type 2), Type 2 (Socket Only)",Operational,394.6,255.06,51.05,30.4,21.7,32.5,96.9,120.0,98.84
304805,GridServe,Public - Pay At Location,360.0,24,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,785.9,441.26,20.56,23.1,33.5,5.0,94.7,120.0,346.4
304650,Pogo Charge (GB),Public - Pay At Location,50.0,1,"CCS (Type 2), Type 2 (Tethered Connector)",Operational,389.6,129.8,23.21,17.0,51.2,31.0,93.5,120.0,43.66
304647,Fuuse,Public,150.0,1,CCS (Type 2),Operational,790.3,195.03,51.59,22.7,63.1,21.1,91.0,120.0,132.9
304458,Connected Kerb,Public,6.0,0,Type 2 (Socket Only),Operational,231.6,28.27,22.23,21.7,64.9,189.0,97.1,43.7,5.44
304410,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,412.5,121.38,22.21,20.5,71.4,28.7,95.6,120.0,43.02
304408,Lidl,Public - Membership Required,60.0,2,"CCS (Type 2), Type 2 (Socket Only)",Operational,397.1,149.4,33.25,13.6,7.4,29.1,91.9,120.0,53.06
304406,Lidl,Public,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,410.8,126.95,31.6,21.8,87.7,43.0,92.6,120.0,48.34
304405,Lidl,Public,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,415.9,113.36,43.22,20.7,6.9,47.0,93.5,120.0,47.0
304385,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,412.9,119.5,35.35,23.5,54.0,39.8,93.5,120.0,46.6
304384,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,394.8,126.15,38.18,26.7,68.5,43.8,97.4,120.0,49.69
304288,InstaVolt Ltd,Public - Pay At Location,160.0,2,"CCS (Type 2), CHAdeMO",Operational,818.2,193.77,44.48,21.3,35.5,17.4,93.9,120.0,152.77
304037,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,381.6,129.81,12.25,19.8,35.9,16.1,91.4,120.0,41.56
303842,Connected Kerb,Public,75.0,4,"CCS (Type 2), Type 2 (Socket Only)",Operational,419.8,182.15,34.47,33.1,45.6,29.2,95.0,120.0,69.93
303742,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,235.9,28.44,20.35,14.1,43.1,199.6,96.5,36.2,6.77
303741,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,231.4,31.62,23.55,28.4,69.0,189.2,94.9,53.4,6.21
303733,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Not Operational,384.1,129.9,23.86,26.2,73.8,29.4,89.4,120.0,39.55
303718,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,229.1,28.87,20.88,18.0,56.8,179.9,95.7,40.5,7.08
303425,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,227.6,34.88,11.7,26.0,57.9,89.8,95.1,54.2,6.29
303424,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,218.2,30.87,17.74,38.6,5.0,158.2,94.6,62.9,6.52
303367,Osprey Charging,Public - Pay At Location,60.0,8,"CCS (Type 2), CHAdeMO",Operational,424.4,145.01,22.89,11.1,48.9,24.3,93.1,120.0,59.97
303307,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,224.2,34.14,14.46,14.3,87.3,107.1,95.4,41.8,6.34
303145,Lidl,Public - Membership Required,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,398.4,122.71,42.18,28.0,58.7,48.7,94.2,120.0,45.42
303021,Leap24 (NL),Public - Membership Required,150.0,2,CCS (Type 2),Operational,792.0,189.19,60.13,17.1,29.1,27.3,92.1,120.0,134.35
302746,Evolt Network (Swarco E.Connect),Public - Pay At Location,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Partly Operational (Mixed),396.8,132.63,33.81,13.6,57.3,45.1,92.0,120.0,50.12
302490,InstaVolt Ltd,Public - Pay At Location,350.0,2,"CCS (Type 2), CHAdeMO",Operational,814.7,428.07,52.91,37.4,36.5,9.0,92.0,120.0,333.24
302489,Smart Charge by Sainsbury's (UK),Public - Pay At Location,150.0,2,"CCS (Type 2), CHAdeMO",Operational,797.2,190.11,45.5,32.5,37.4,15.6,92.1,120.0,146.22
302224,POD Point (UK),Public - Membership Required,3.0,0,Type 2 (Socket Only),Operational,226.3,15.4,29.72,22.5,27.2,480.0,95.0,36.1,2.73
301905,Roam Charging (UK),Public,22.0,0,Type 2 (Socket Only),Operational,238.5,90.77,20.07,23.3,18.4,52.2,98.5,120.0,20.33
301864,Fuuse,Public,22.0,0,Type 2 (Socket Only),Operational,232.7,96.64,8.42,25.6,52.0,24.5,97.4,120.0,23.57
301670,Fuuse,Public,22.0,0,Type 2 (Socket Only),Operational,215.9,97.69,16.75,30.4,54.7,48.6,97.4,120.0,22.42
301668,Ionity,Public - Membership Required,350.0,2,CCS (Type 2),Operational,791.8,444.69,45.57,36.0,43.5,8.2,93.4,120.0,329.01
301667,Ionity,Public - Membership Required,350.0,1,CCS (Type 2),Operational,817.8,428.35,98.0,32.0,48.0,15.1,90.1,120.0,317.54
301642,Fuuse,Public,50.0,4,CCS (Type 2),Operational,393.8,120.95,29.81,18.3,42.8,38.8,93.8,120.0,48.11
301312,Osprey Charging,Public - Pay At Location,300.0,16,"CCS (Type 2), CHAdeMO",Operational,835.4,358.14,54.38,16.1,38.8,12.0,92.3,120.0,279.5
301309,Osprey Charging,Public - Pay At Location,150.0,4,CCS (Type 2),Operational,806.8,181.52,66.3,36.3,18.1,29.2,93.3,120.0,141.1
301292,Smart Charge by Sainsbury's (UK),Public - Pay At Location,300.0,8,"CCS (Type 2), CHAdeMO",Operational,812.5,366.57,52.0,27.6,45.3,11.5,94.5,120.0,266.28
301287,GridServe,Public - Pay At Location,170.0,12,"CCS (Type 2), CHAdeMO",Operational,822.8,205.46,29.35,15.6,29.2,11.1,96.5,120.0,178.95
301158,Fuuse,Private - Restricted Access,22.0,0,Type 2 (Socket Only),Operational,232.6,96.59,20.39,24.5,82.2,58.4,95.0,120.0,21.88
301157,Fuuse,Public,22.0,0,Type 2 (Socket Only),Operational,226.9,93.58,14.14,33.1,26.9,42.4,94.4,120.0,22.51
301156,Fuuse,Public,22.0,0,Type 2 (Socket Only),Operational,224.6,96.69,14.38,15.6,40.2,43.3,95.5,120.0,19.01
300817,Roam Charging (UK),Public - Membership Required,22.0,0,Type 2 (Socket Only),Operational,234.9,90.04,14.91,15.7,40.3,39.7,96.2,120.0,20.69
300816,Evolt Network (Swarco E.Connect),Public,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,400.9,122.18,23.22,25.9,59.5,28.7,95.3,120.0,44.55
300815,Evolt Network (Swarco E.Connect),Public,7.0,0,Type 2 (Socket Only),Operational,238.2,33.77,16.61,20.2,5.0,150.0,97.6,47.3,7.21
300789,Electric Highway (UK),Public - Pay At Location,360.0,6,CCS (Type 2),Operational,794.6,441.28,62.86,34.3,53.0,9.8,94.0,120.0,349.74
300778,Osprey Charging,Public - Pay At Location,150.0,12,"CCS (Type 2), CHAdeMO",Operational,800.4,183.26,27.77,35.2,82.0,11.7,91.0,120.0,130.54
300776,Osprey Charging,Public - Pay At Location,60.0,8,"CCS (Type 2), CHAdeMO",Operational,392.3,156.42,32.5,17.0,51.2,32.5,93.7,120.0,57.13
300775,Osprey Charging,Public - Pay At Location,60.0,6,"CCS (Type 2), CHAdeMO",Operational,405.4,151.28,26.53,24.1,68.4,29.9,95.6,120.0,55.96
300774,Osprey Charging,Public - Pay At Location,60.0,8,"CCS (Type 2), CHAdeMO",Operational,399.1,149.48,32.93,20.0,91.5,35.9,94.1,120.0,57.64
300748,Roam Charging (UK),Public,22.0,0,Type 2 (Socket Only),Operational,237.5,95.12,17.26,29.3,38.1,49.3,96.0,120.0,20.83
300447,Roam Charging (UK),Public,22.0,0,Type 2 (Socket Only),Operational,223.3,103.48,15.09,22.1,7.7,39.4,97.6,120.0,22.7
300444,Roam Charging (UK),Public,22.0,0,Type 2 (Socket Only),Operational,227.5,96.93,8.66,18.5,61.7,22.9,96.1,120.0,22.55
300433,Monta,Private - For Staff; Visitors or Customers,7.0,0,Type 2 (Socket Only),Operational,232.7,27.4,21.88,20.7,56.5,183.2,96.1,42.0,7.26
300167,City EV,Public,7.0,0,Type 2 (Socket Only),Operational,237.8,31.84,19.82,18.1,47.9,191.1,98.1,43.3,6.08
300163,Osprey Charging,Public - Pay At Location,75.0,6,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Partly Operational (Mixed),387.0,191.83,43.21,22.2,47.8,37.4,94.4,120.0,76.08
299983,Evology Parking,Public - Pay At Location,7.0,0,Type 2 (Socket Only),Operational,226.2,28.93,22.41,22.6,54.8,206.4,92.3,45.2,6.69
299846,GridServe,Public - Pay At Location,148.0,10,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,388.6,378.23,42.12,34.9,44.0,16.0,96.7,120.0,148.1
299836,Osprey Charging,Public - Pay At Location,60.0,6,"CCS (Type 2), CHAdeMO",Operational,396.5,153.28,33.85,24.2,17.7,36.3,94.5,120.0,59.44
299760,BP Pulse (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,228.5,33.72,19.66,25.2,74.4,169.0,96.6,52.3,7.26
299758,(Unknown Operator),Public,22.0,0,Type 2 (Socket Only),Operational,221.1,98.56,11.97,14.9,66.2,33.6,96.7,120.0,22.79
299585,Shell Recharge Solutions (UK),Public - Membership Required,11.0,0,Type 2 (Socket Only),Operational,220.4,53.57,16.62,17.5,66.9,85.0,96.3,70.5,9.3
299472,ESB Energy (UK),Public - Pay At Location,100.0,4,"CCS (Type 2), CHAdeMO",Operational,373.7,266.39,26.94,20.1,76.6,14.1,94.3,120.0,97.0
299452,Applegreen Electric,Public - Pay At Location,180.0,1,CCS (Type 2),Operational,781.3,230.03,53.2,24.1,33.4,19.0,91.9,120.0,176.46
299319,Osprey Charging,Public - Pay At Location,300.0,24,"CCS (Type 2), CHAdeMO",Operational,809.2,367.92,47.96,27.2,28.9,9.9,91.2,120.0,294.9
299316,Osprey Charging,Public - Pay At Location,60.0,6,"CCS (Type 2), CHAdeMO",Operational,381.1,155.9,26.93,17.3,5.0,28.0,93.6,120.0,54.5
299306,Tesla (Tesla-only charging),Public - Membership Required,250.0,1,CCS (Type 2),Operational,785.3,321.46,78.03,33.3,22.6,18.6,90.6,120.0,244.96
299288,Tesla (including non-tesla),Public - Pay At Location,250.0,1,CCS (Type 2),Operational,815.8,304.85,56.01,16.6,29.2,14.2,90.9,120.0,223.3
299287,Evolt Network (Swarco E.Connect),Public - Pay At Location,300.0,7,CCS (Type 2),Operational,790.4,377.09,61.9,24.1,38.4,11.7,95.5,120.0,284.76
298938,Weev,Public - Membership Required,60.0,1,"CCS (Type 2), Type 2 (Socket Only)",Operational,415.1,141.7,36.35,25.4,19.6,38.5,92.1,120.0,60.33
298925,Osprey Charging,Public - Pay At Location,60.0,6,"CCS (Type 2), CHAdeMO",Operational,414.6,139.21,38.95,23.8,41.6,37.3,93.9,120.0,59.27
298924,Osprey Charging,Public - Pay At Location,60.0,4,"CCS (Type 2), CHAdeMO",Operational,411.2,142.99,45.75,20.7,30.9,41.1,93.7,120.0,57.99
298923,Osprey Charging,Public - Pay At Location,60.0,8,"CCS (Type 2), CHAdeMO",Operational,408.1,142.67,29.84,24.9,32.1,26.9,91.2,120.0,56.06
298922,InstaVolt Ltd,Public - Pay At Location,160.0,2,"CCS (Type 2), CHAdeMO",Operational,804.9,196.72,79.83,28.7,44.7,28.4,92.0,120.0,144.29
297949,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,236.5,28.87,19.49,29.1,33.1,143.3,97.2,51.6,6.57
297932,(Unknown Operator),Public,7.0,0,Type 2 (Socket Only),Operational,240.8,28.21,23.84,16.1,5.0,201.5,96.9,38.0,6.99
297931,E.ON Drive,Public,60.0,1,CCS (Type 2),Operational,405.7,148.5,34.74,26.2,55.4,36.5,93.2,120.0,53.53
297930,E.ON Drive,Public,300.0,1,CCS (Type 2),Operational,796.9,377.71,78.83,34.6,72.5,14.8,90.9,120.0,238.19
297929,Osprey Charging,Public - Pay At Location,150.0,12,"CCS (Type 2), CHAdeMO",Operational,824.0,178.92,69.1,20.7,29.3,29.6,88.6,120.0,118.64
297860,Roam Charging (UK),Public - Pay At Location,75.0,1,CCS (Type 2),Operational,405.6,188.8,30.72,22.8,38.7,28.2,96.7,120.0,71.76
297847,Osprey Charging,Public - Pay At Location,60.0,8,"CCS (Type 2), CHAdeMO",Operational,392.1,155.07,30.96,32.2,52.3,31.0,97.4,120.0,55.99
297846,Osprey Charging,Public - Pay At Location,60.0,6,"CCS (Type 2), CHAdeMO",Operational,412.5,147.9,21.68,15.5,62.8,21.9,94.3,120.0,58.24
297844,Osprey Charging,Public - Pay At Location,150.0,4,CCS (Type 2),Operational,828.7,180.93,56.39,28.4,48.9,24.5,91.7,120.0,142.96
297841,Pogo Charge (GB),Public - Pay At Location,100.0,4,"CCS (Type 2), CHAdeMO",Operational,388.7,259.62,38.5,28.5,87.7,23.5,95.3,120.0,95.15
297808,BP Pulse (UK),Public,150.0,1,CCS (Type 2),Operational,809.0,191.07,43.32,18.3,25.6,15.5,91.4,120.0,134.96
297807,BP Pulse (UK),Public,150.0,1,CCS (Type 2),Operational,793.3,192.05,52.18,35.5,50.5,18.0,92.3,120.0,142.41
297706,Tesla (including non-tesla),Public - Pay At Location,250.0,1,CCS (Type 2),Operational,817.3,307.9,50.45,29.3,46.4,12.0,92.9,120.0,227.98
297692,Applegreen Electric,Public - Pay At Location,150.0,1,CCS (Type 2),Operational,819.4,176.45,62.34,26.3,60.3,24.3,93.0,120.0,131.32
297664,Wenea,Public - Pay At Location,100.0,2,CCS (Type 2),Operational,430.4,234.26,40.3,28.2,51.2,21.4,95.3,120.0,98.94
297663,Wenea,Public - Pay At Location,60.0,1,CCS (Type 2),Operational,393.9,153.23,44.74,30.0,40.1,48.5,93.1,120.0,55.46
297662,Wenea,Public - Pay At Location,100.0,1,CCS (Type 2),Operational,388.7,255.68,45.66,24.9,40.6,24.1,94.0,120.0,101.4
297563,InstaVolt Ltd,Public - Pay At Location,120.0,2,"CCS (Type 2), CHAdeMO",Operational,439.4,271.2,43.51,27.7,16.3,23.8,93.4,120.0,123.84
297562,BP Pulse (UK),Public,150.0,1,CCS (Type 2),Operational,777.4,195.24,46.86,27.8,51.8,17.8,92.7,120.0,133.82
297561,InstaVolt Ltd,Public,120.0,1,CCS (Type 2),Operational,387.2,314.5,51.84,14.3,63.6,27.2,94.3,120.0,111.63
297560,Tesla (including non-tesla),Public - Membership Required,250.0,1,CCS (Type 2),Operational,808.0,309.01,68.24,33.3,26.0,14.8,91.6,120.0,228.29
297547,Shell Recharge Solutions (UK),Public,150.0,1,CCS (Type 2),Operational,809.0,183.97,53.68,28.3,71.5,18.5,91.5,120.0,136.34
297446,MER,Public - Pay At Location,50.0,2,"CCS (Type 2), CHAdeMO",Operational,409.6,119.32,36.9,20.9,62.0,46.0,92.5,120.0,44.97
297436,InstaVolt Ltd,Public - Pay At Location,160.0,2,"CCS (Type 2), CHAdeMO",Operational,794.5,196.74,34.79,27.1,43.0,13.3,93.7,120.0,138.72
297434,Osprey Charging,Public - Pay At Location,25.0,0,"CCS (Type 2), Type 2 (Socket Only)",Operational,229.4,108.67,28.01,14.4,22.8,76.4,98.9,120.0,26.02
297433,GridServe,Public - Pay At Location,180.0,12,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,796.1,228.24,42.44,38.5,44.6,15.3,91.7,120.0,174.15
297369,Osprey Charging,Public - Pay At Location,150.0,4,CCS (Type 2),Operational,783.4,193.0,28.36,22.6,31.6,10.9,91.7,120.0,149.69
297368,Monta,Public,7.4,0,Type 2 (Socket Only),Operational,238.0,28.17,19.93,14.5,71.9,182.1,96.8,36.4,7.14
297265,MER,Private - For Staff; Visitors or Customers,22.0,0,Type 2 (Socket Only),Operational,232.9,96.01,17.91,22.8,23.9,53.4,99.5,120.0,20.27
297241,Char.gy,Public - Pay At Location,5.0,0,Type 2 (Socket Only),Operational,224.8,21.62,6.07,12.8,9.7,69.2,97.0,29.8,5.09
297216,Char.gy,Public - Pay At Location,5.0,0,Type 2 (Socket Only),Operational,232.9,17.23,19.49,21.9,22.1,233.9,95.8,36.4,4.42
297167,Shell Recharge Solutions (UK),Public - Pay At Location,175.0,2,"CCS (Type 2), CHAdeMO",Operational,807.3,211.05,49.34,12.3,52.1,19.3,91.1,120.0,152.84
297143,InstaVolt Ltd,Public - Pay At Location,160.0,2,"CCS (Type 2), CHAdeMO",Operational,786.6,203.99,54.09,23.8,84.4,22.8,90.8,120.0,151.43
297141,InstaVolt Ltd,Public - Pay At Location,60.0,2,"CCS (Type 2), CHAdeMO",Operational,404.2,153.35,35.75,13.1,90.2,32.5,91.2,120.0,51.82
