record_id,station_id,timestamp,charger_type,connector_type,ambient_temperature_c,humidity_pct,input_voltage_v,input_current_a,charging_power_kw,grid_frequency_hz,power_factor,energy_delivered_kwh,charging_duration_min,station_temperature_c,cable_temperature_c,insulation_resistance_mohm,ground_leakage_current_ma,battery_soc_start_pct,battery_soc_end_pct,battery_voltage_v,battery_current_a,battery_temperature_c,battery_soh_pct,cell_voltage_imbalance_mv,bms_warning_count,communication_latency_ms,packet_loss_pct,failed_auth_attempts,network_traffic_mbps,firmware_integrity_score,sensor_health_score,equipment_vibration_mm_s,relay_switch_count,error_code_count,charging_efficiency_pct,voltage_deviation_pct,current_deviation_pct,energy_loss_pct,anomaly_class
EVR_000011,CS_0115,2024-01-01 00:50:00,DC_Fast,CCS,20.238,42.465,403.858,59.617,35.32,50.185,0.958,17.598,37.184,45.007,29.155,16.015,3.445,13.243,94.001,374.747,71.577,33.626,87.271,8.621,0,13.202,0.294,0,2.548,0.973,0.952,1.934,13,0,90.528,0.602,2.193,2.917,Normal
EVR_000012,CS_0275,2024-01-01 00:55:00,DC_Fast,CCS,29.688,62.659,403.431,63.41,43.272,49.995,1.0,47.414,39.013,33.876,41.615,11.034,2.465,39.93,97.891,393.197,73.627,35.139,92.766,18.719,0,218.908,10.18,6,2.828,0.602,0.949,2.53,6,0,91.693,0.408,2.168,4.374,Cybersecurity_Incident
EVR_000013,CS_0198,2024-01-01 01:00:00,AC_Level_2,CCS,32.398,48.59,407.644,113.595,32.223,50.017,0.85,9.807,14.378,40.073,30.066,15.408,3.019,38.305,66.916,351.703,58.26,30.644,89.542,22.464,0,26.749,0.224,0,1.67,1.0,0.971,1.678,8,1,96.006,10.378,3.418,13.395,Energy_Anomaly
EVR_000014,CS_0143,2024-01-01 01:05:00,AC_Level_2,CHAdeMO,27.757,52.3,417.005,107.343,48.25,50.152,0.956,24.815,20.999,17.465,47.235,11.474,3.809,9.891,89.702,333.907,28.088,26.913,100.0,18.631,2,24.828,0.337,0,0.365,0.954,0.972,1.584,6,0,99.0,0.747,3.029,3.895,Normal
EVR_000015,CS_0228,2024-01-01 01:10:00,DC_Fast,CCS,35.376,68.233,389.311,55.826,41.289,50.21,0.951,51.421,53.376,42.359,35.102,12.872,0.455,19.329,90.03,363.524,63.234,32.721,91.904,8.181,0,7.532,0.855,0,1.464,0.957,0.934,2.446,10,0,93.565,1.583,3.456,2.603,Normal
EVR_000016,CS_0120,2024-01-01 01:15:00,DC_Fast,CCS,31.617,69.125,388.68,75.754,31.809,49.826,0.935,15.618,23.319,31.412,29.125,11.541,5.586,15.284,92.24,406.496,97.405,25.302,80.062,24.664,1,30.987,0.6,0,2.415,0.996,1.0,2.231,9,0,93.337,0.748,0.731,4.438,Normal
EVR_000017,CS_0024,2024-01-01 01:20:00,DC_Fast,CCS,41.675,44.81,397.867,81.625,37.64,49.724,0.972,63.659,56.234,39.424,42.69,12.359,2.466,25.751,74.382,345.52,79.867,38.887,87.893,29.695,0,48.828,0.371,0,8.352,0.962,0.964,1.681,9,0,90.985,0.809,2.095,2.55,Normal
EVR_000018,CS_0027,2024-01-01 01:25:00,DC_Fast,Type_2,21.362,30.943,388.587,55.126,37.134,50.036,0.939,18.235,45.232,30.335,41.422,12.988,5.032,58.259,91.777,397.869,64.97,30.228,97.957,13.628,0,11.611,0.018,0,3.909,0.959,1.0,1.908,11,0,95.271,1.361,2.438,5.196,Normal
EVR_000019,CS_0075,2024-01-01 01:30:00,DC_Fast,Type_2,19.07,42.753,402.076,66.222,30.092,50.14,0.955,14.759,49.709,40.343,29.207,12.636,1.27,40.751,88.88,396.127,73.266,39.529,92.045,13.735,1,10.821,0.407,0,0.386,0.935,0.99,2.214,9,0,89.758,1.281,0.745,3.171,Normal
EVR_000020,CS_0241,2024-01-01 01:35:00,AC_Level_2,Type_2,33.229,56.4,395.042,71.458,38.331,49.973,0.952,23.139,147.844,36.03,40.056,11.871,4.548,21.725,94.007,398.883,67.175,24.944,91.669,35.05,0,3.531,0.113,0,1.585,0.963,1.0,2.581,5,0,97.54,1.556,0.067,5.395,Normal
EVR_000021,CS_0023,2024-01-01 01:40:00,Ultra_Fast,Type_2,27.09,70.542,405.882,74.448,22.948,50.162,0.941,22.848,47.072,38.206,22.856,8.965,3.837,37.202,72.188,359.201,73.582,28.179,81.866,6.561,0,48.423,0.055,0,2.981,0.997,0.966,0.81,9,2,88.049,1.564,11.716,3.905,Charging_Fault
EVR_000022,CS_0161,2024-01-01 01:45:00,Ultra_Fast,CHAdeMO,19.628,69.358,396.07,85.342,37.263,50.164,0.939,15.969,23.769,47.751,34.901,7.481,2.759,53.362,91.222,266.537,77.702,14.071,90.432,9.902,0,15.817,0.027,0,0.217,0.971,0.949,1.708,7,0,96.6,0.901,2.08,0.5,Normal
EVR_000023,CS_0041,2024-01-01 01:50:00,DC_Fast,Type_2,22.073,83.707,403.398,80.709,19.968,50.29,0.975,21.071,34.29,24.819,23.202,10.342,2.924,51.614,78.158,313.426,79.156,34.061,91.738,19.095,0,25.386,0.174,1,1.539,0.952,0.943,2.171,12,1,94.144,0.995,0.207,5.237,Normal
EVR_000024,CS_0238,2024-01-01 01:55:00,AC_Level_2,Type_2,34.228,71.853,392.834,94.103,38.277,50.044,0.926,12.109,22.207,33.047,49.76,10.771,3.455,64.201,94.614,352.207,85.516,26.733,86.915,18.64,0,27.277,0.2,0,9.629,0.986,0.981,1.65,8,1,94.266,1.978,1.134,3.389,Normal
EVR_000025,CS_0239,2024-01-01 02:00:00,DC_Fast,Type_2,35.629,50.77,404.732,105.199,34.437,49.747,0.996,44.755,29.538,33.192,45.753,8.874,6.221,14.227,97.771,350.5,72.048,28.977,87.91,25.018,1,38.711,0.146,0,1.89,0.98,0.892,1.528,8,0,95.367,1.137,0.028,5.29,Normal
EVR_000026,CS_0056,2024-01-01 02:05:00,DC_Fast,CCS,34.396,66.314,408.593,70.689,33.854,49.955,0.916,44.569,41.299,46.86,45.325,10.278,4.363,44.214,73.132,362.507,78.977,26.951,94.928,16.306,0,19.247,0.264,1,2.488,0.972,0.706,4.289,5,0,84.989,0.545,1.009,3.375,Equipment_Degradation
EVR_000027,CS_0098,2024-01-01 02:10:00,AC_Level_2,Type_2,29.694,31.735,397.393,61.207,43.868,50.137,0.993,20.383,69.578,30.717,44.522,8.049,3.454,35.843,99.166,364.67,69.902,37.471,90.109,8.991,0,23.137,0.314,0,6.677,1.0,0.946,1.43,12,0,94.261,0.822,3.852,3.439,Normal
EVR_000028,CS_0146,2024-01-01 02:15:00,DC_Fast,CCS,27.394,72.099,406.481,85.048,40.004,50.132,0.973,13.027,60.6,60.734,37.887,17.395,4.889,30.675,77.442,376.409,61.904,32.935,88.831,16.099,1,31.328,0.276,0,2.932,0.981,0.976,1.589,7,1,93.422,1.029,1.984,5.872,Normal
EVR_000029,CS_0262,2024-01-01 02:20:00,DC_Fast,Type_2,27.719,72.004,395.548,126.357,23.979,49.909,0.919,45.274,60.528,30.179,39.082,12.208,7.565,42.931,77.168,363.241,104.498,36.282,89.815,23.63,0,11.469,0.058,0,0.759,1.0,0.922,1.996,10,6,77.07,1.272,13.563,3.653,Charging_Fault
EVR_000030,CS_0040,2024-01-01 02:25:00,DC_Fast,Type_2,30.791,45.021,389.204,56.397,30.18,50.018,0.941,35.574,41.847,37.421,38.371,8.099,4.234,64.928,95.477,382.244,46.064,22.818,95.281,13.072,2,30.18,0.009,0,0.816,1.0,0.955,2.401,7,0,95.119,0.955,0.401,1.261,Normal
EVR_000031,CS_0193,2024-01-01 02:30:00,AC_Level_2,Type_2,30.194,89.006,407.119,106.768,45.56,49.969,0.943,52.058,82.136,25.471,25.838,11.794,4.965,58.861,97.568,360.171,63.471,31.058,92.896,19.12,1,7.0,0.277,0,4.208,0.952,0.901,1.971,3,3,76.858,2.261,12.505,3.584,Charging_Fault
EVR_000032,CS_0239,2024-01-01 02:35:00,AC_Level_2,Type_2,22.132,74.108,401.535,80.039,33.636,49.896,0.955,28.481,76.979,34.048,45.84,9.304,3.419,39.903,86.765,400.241,62.645,28.832,89.1,11.249,0,38.313,0.093,0,1.155,0.957,1.0,1.467,12,2,92.746,1.599,3.071,5.093,Normal
EVR_000033,CS_0042,2024-01-01 02:40:00,DC_Fast,CCS,36.109,81.903,412.426,87.828,16.251,50.079,0.958,17.16,41.456,37.237,37.156,16.876,0.0,9.141,93.762,344.27,52.017,20.797,91.205,18.081,0,78.241,1.36,0,2.106,0.979,0.894,1.649,10,0,94.957,1.077,2.295,2.371,Normal
EVR_000034,CS_0222,2024-01-01 02:45:00,Ultra_Fast,Type_2,29.322,77.454,386.295,96.424,25.268,49.93,0.97,11.599,62.235,46.129,28.125,7.289,6.079,56.9,98.402,424.78,88.109,35.549,83.704,20.978,0,204.161,8.8,4,1.916,0.709,0.982,2.674,9,0,97.035,0.762,1.708,2.689,Cybersecurity_Incident
EVR_000035,CS_0196,2024-01-01 02:50:00,DC_Fast,Type_2,13.51,52.283,396.604,78.132,32.372,49.97,0.933,27.972,41.411,30.673,42.166,10.57,4.593,16.39,78.76,372.59,39.798,27.819,100.0,33.259,1,113.172,5.643,8,4.29,0.721,0.97,2.223,11,1,92.139,0.68,2.621,3.304,Cybersecurity_Incident
EVR_000036,CS_0288,2024-01-01 02:55:00,DC_Fast,Type_2,20.235,54.76,394.151,74.142,26.241,49.863,0.937,13.688,48.934,44.239,37.01,11.822,5.084,44.515,89.537,391.59,81.575,28.37,91.594,21.072,0,15.785,0.084,0,4.971,0.966,0.636,6.522,6,0,89.001,1.198,1.03,2.512,Equipment_Degradation
EVR_000037,CS_0010,2024-01-01 03:00:00,AC_Level_2,CHAdeMO,26.094,48.787,399.069,57.264,33.167,50.207,0.983,30.572,178.7,29.633,50.434,17.162,6.226,47.437,85.451,351.191,51.06,26.159,83.157,39.208,0,24.358,0.11,0,1.308,0.985,0.919,1.452,4,0,93.443,0.071,3.05,7.086,Normal
EVR_000038,CS_0235,2024-01-01 03:05:00,DC_Fast,CHAdeMO,30.471,26.138,385.176,69.256,35.773,50.061,0.971,15.116,32.493,36.735,45.732,15.578,4.319,40.728,71.964,387.143,60.129,27.077,78.236,4.279,0,22.856,0.57,0,2.598,1.0,0.981,1.929,11,1,91.871,1.322,0.44,4.684,Normal
EVR_000039,CS_0265,2024-01-01 03:10:00,Ultra_Fast,CCS,29.054,71.339,413.194,56.617,25.863,50.03,0.98,63.046,75.445,44.381,36.491,18.155,2.669,9.422,72.719,374.186,104.859,51.259,84.188,57.98,6,95.952,0.03,1,1.102,0.965,0.972,1.788,7,0,89.605,2.326,0.086,4.161,Battery_Anomaly
EVR_000040,CS_0069,2024-01-01 03:15:00,DC_Fast,CCS,24.129,82.037,397.311,74.581,25.699,49.967,0.963,17.942,61.93,39.651,39.021,8.31,2.019,54.175,73.776,389.98,93.938,29.025,90.087,18.737,0,13.231,0.335,0,3.623,0.975,1.0,2.857,8,3,89.48,0.444,2.483,5.306,Normal
EVR_000041,CS_0139,2024-01-01 03:20:00,Ultra_Fast,CCS,37.637,60.697,376.685,91.87,24.629,49.964,0.997,28.026,59.884,29.125,43.866,7.895,1.545,25.627,95.989,397.899,58.853,23.089,88.463,22.097,0,17.404,0.018,0,4.227,0.965,1.0,1.725,7,0,98.977,1.251,2.904,3.711,Normal
EVR_000042,CS_0219,2024-01-01 03:25:00,DC_Fast,CCS,34.252,98.0,382.433,89.071,31.565,50.16,0.963,35.613,19.98,42.123,30.594,12.218,2.488,10.668,73.53,388.432,63.513,28.342,79.045,25.178,0,19.179,0.957,0,1.046,0.987,0.962,1.485,6,0,92.238,1.078,1.218,2.157,Normal
EVR_000043,CS_0196,2024-01-01 03:30:00,DC_Fast,Type_2,28.759,53.189,395.099,53.953,13.991,49.75,0.979,36.692,12.981,36.623,33.769,15.212,5.873,50.524,87.148,355.682,52.247,37.443,94.738,25.238,0,13.685,0.608,1,8.324,0.959,0.873,2.183,7,0,95.56,0.551,3.186,2.36,Normal
EVR_000044,CS_0074,2024-01-01 03:35:00,AC_Level_2,CHAdeMO,18.052,42.817,384.346,83.474,48.988,50.115,0.875,5.086,31.399,40.371,43.163,14.975,5.495,23.744,81.721,350.62,48.851,32.486,85.974,19.03,0,99.331,0.155,0,2.568,0.993,0.963,2.193,8,0,90.222,7.506,1.617,18.628,Energy_Anomaly
EVR_000045,CS_0103,2024-01-01 03:40:00,AC_Level_2,Type_2,26.86,67.792,402.279,66.09,24.988,49.942,0.955,24.288,23.703,39.623,46.055,9.894,4.215,11.668,94.6,350.887,50.535,32.945,91.39,13.772,0,28.938,0.316,0,2.641,0.969,0.962,1.765,10,0,94.369,2.116,0.968,2.829,Normal
EVR_000046,CS_0225,2024-01-01 03:45:00,AC_Level_2,CCS,26.361,63.166,413.793,80.997,9.972,50.002,0.992,19.703,84.153,24.203,48.952,14.638,3.668,8.644,94.387,351.989,37.888,48.215,71.472,50.412,3,53.873,1.02,1,3.34,0.96,1.0,1.275,7,0,93.176,1.727,1.473,4.426,Battery_Anomaly
EVR_000047,CS_0123,2024-01-01 03:50:00,DC_Fast,CCS,17.23,75.229,391.25,66.081,53.7,50.193,0.976,9.184,31.697,43.425,27.043,9.257,2.259,64.325,80.026,365.27,71.351,28.542,89.366,26.007,1,12.612,0.429,0,2.373,0.98,0.914,1.919,11,0,90.681,0.418,2.943,1.444,Normal
EVR_000048,CS_0102,2024-01-01 03:55:00,AC_Level_2,CCS,32.648,68.096,405.814,98.002,12.039,50.242,0.989,22.172,72.742,35.393,30.817,11.187,0.978,54.634,91.527,389.197,68.022,34.897,89.97,23.548,0,11.999,2.653,0,2.868,1.0,0.965,0.803,7,1,94.98,0.87,1.77,5.523,Normal
EVR_000049,CS_0264,2024-01-01 04:00:00,DC_Fast,CCS,30.316,81.157,415.94,104.779,38.15,50.143,0.967,8.75,78.884,35.383,38.705,12.618,4.743,51.284,87.061,388.357,76.392,28.3,92.2,38.685,0,4.667,0.521,0,1.607,1.0,1.0,1.123,10,0,88.76,1.422,3.941,3.943,Normal
EVR_000050,CS_0161,2024-01-01 04:05:00,Ultra_Fast,Type_2,22.214,38.812,362.601,85.571,42.81,49.941,0.993,63.251,85.966,34.715,40.96,8.049,4.628,35.136,74.11,369.996,61.182,21.597,92.419,0.0,0,103.989,0.146,1,2.419,0.966,0.904,3.174,3,0,87.719,0.163,1.618,6.084,Normal
EVR_000051,CS_0233,2024-01-01 04:10:00,DC_Fast,CHAdeMO,30.737,61.712,396.637,82.662,37.651,49.916,0.965,13.857,60.034,57.552,36.689,13.66,3.906,17.782,89.66,346.421,95.381,30.555,83.529,28.443,0,280.214,9.314,11,4.289,0.732,0.986,1.196,7,0,90.514,1.545,1.799,1.082,Cybersecurity_Incident
EVR_000052,CS_0275,2024-01-01 04:15:00,AC_Level_2,CCS,35.843,56.529,392.218,79.644,19.608,50.276,0.96,25.14,146.778,66.287,48.232,7.546,6.332,53.017,77.996,380.129,70.643,40.116,88.31,11.979,0,31.835,0.927,0,0.964,0.989,0.61,4.842,6,0,94.694,0.582,2.266,4.402,Equipment_Degradation
EVR_000053,CS_0258,2024-01-01 04:20:00,Ultra_Fast,CHAdeMO,32.575,75.388,390.987,74.052,30.953,49.835,0.961,27.308,105.945,33.11,40.802,14.489,1.557,43.173,99.145,410.26,57.869,39.19,89.538,30.171,0,134.828,4.999,13,5.236,0.781,0.988,1.709,11,1,89.393,2.094,1.365,2.894,Cybersecurity_Incident
EVR_000054,CS_0139,2024-01-01 04:25:00,DC_Fast,Type_2,24.902,49.696,406.392,103.771,28.866,49.898,0.821,27.203,45.973,41.972,31.41,13.073,3.313,43.184,80.171,392.32,73.557,25.314,86.458,12.142,1,41.235,0.078,1,1.338,0.989,0.933,1.467,5,0,86.272,8.662,2.606,15.556,Energy_Anomaly
EVR_000055,CS_0227,2024-01-01 04:30:00,DC_Fast,CCS,45.778,47.26,391.902,98.266,19.359,50.045,0.943,8.839,38.823,32.017,30.634,12.206,3.486,20.656,80.754,366.827,84.665,28.906,80.37,14.995,1,16.279,0.253,1,1.075,1.0,0.939,2.29,4,3,78.293,0.488,12.153,5.725,Charging_Fault
EVR_000056,CS_0273,2024-01-01 04:35:00,Ultra_Fast,Type_2,32.053,61.25,402.313,102.029,29.336,50.159,0.987,26.703,47.112,43.56,36.047,10.108,5.065,10.002,91.115,364.445,96.269,40.31,91.572,13.733,0,107.386,9.36,8,1.016,0.656,1.0,1.354,10,0,90.147,1.337,2.161,5.457,Cybersecurity_Incident
EVR_000057,CS_0086,2024-01-01 04:40:00,Ultra_Fast,Type_2,24.621,65.518,402.692,77.758,49.199,49.943,0.983,8.455,130.611,41.477,27.335,14.75,3.542,11.476,98.33,354.071,53.719,26.4,100.0,18.177,0,24.601,0.217,1,1.228,0.975,0.983,2.253,10,0,87.6,0.453,1.72,3.702,Normal
EVR_000058,CS_0291,2024-01-01 04:45:00,DC_Fast,Type_2,40.406,69.45,394.156,72.081,37.622,49.935,0.964,29.834,35.146,49.184,39.279,11.372,7.56,10.346,85.612,375.455,108.131,31.528,88.917,12.119,0,36.171,0.07,0,1.944,1.0,0.959,1.008,7,1,90.223,1.525,1.418,5.297,Normal
EVR_000059,CS_0217,2024-01-01 04:50:00,DC_Fast,CHAdeMO,16.418,48.262,418.075,34.672,40.113,49.891,0.941,9.999,74.79,35.302,29.68,9.687,6.708,61.284,66.782,330.997,35.957,37.399,88.252,23.498,0,132.936,0.162,0,2.092,0.995,1.0,2.279,6,0,91.036,1.831,2.716,3.285,Normal
EVR_000060,CS_0066,2024-01-01 04:55:00,DC_Fast,CCS,20.834,73.454,417.55,93.642,35.544,50.033,0.97,41.817,119.706,44.28,32.956,10.531,4.785,11.186,88.583,318.62,82.264,32.34,89.391,21.977,1,22.065,2.404,0,1.015,0.975,0.933,1.049,7,0,98.482,0.783,0.35,2.306,Normal
EVR_000061,CS_0257,2024-01-01 05:00:00,DC_Fast,CHAdeMO,25.546,43.856,371.603,89.473,19.131,49.958,0.989,17.917,23.96,34.223,43.2,11.113,6.141,35.065,94.926,351.828,71.453,29.179,91.339,7.916,0,6.127,0.973,1,4.842,0.982,1.0,0.834,7,0,93.909,1.648,0.606,3.545,Normal
EVR_000062,CS_0135,2024-01-01 05:05:00,DC_Fast,CCS,35.82,51.498,407.215,61.35,34.84,49.857,0.912,48.817,91.251,27.204,37.388,8.571,3.567,36.792,87.055,315.192,54.497,24.227,88.078,12.554,0,25.198,0.059,0,1.264,1.0,0.905,1.941,4,0,96.69,1.605,3.976,4.029,Normal
EVR_000063,CS_0055,2024-01-01 05:10:00,DC_Fast,Type_2,24.365,60.486,402.21,64.985,43.586,50.163,0.918,40.343,66.07,41.416,31.177,12.905,5.213,48.74,87.579,314.357,86.906,29.667,83.693,15.569,1,47.338,1.809,0,1.181,0.954,0.683,6.015,5,0,94.057,2.248,1.385,4.765,Equipment_Degradation
EVR_000064,CS_0243,2024-01-01 05:15:00,AC_Level_2,CHAdeMO,28.115,77.629,387.048,47.891,28.452,50.16,0.95,47.232,51.333,37.881,53.297,12.143,3.736,61.788,86.238,386.488,60.333,27.496,98.177,32.162,0,9.391,0.489,0,5.78,0.963,0.918,0.369,4,0,97.292,2.133,2.701,3.021,Normal
EVR_000065,CS_0252,2024-01-01 05:20:00,DC_Fast,CCS,22.558,42.93,400.287,104.511,23.058,50.139,0.999,33.444,74.024,30.999,23.409,9.591,2.08,61.777,77.133,378.34,68.589,26.577,87.996,17.015,0,21.763,0.748,0,2.495,0.949,0.909,1.432,6,1,89.966,1.976,2.207,2.416,Normal
EVR_000066,CS_0021,2024-01-01 05:25:00,AC_Level_2,CCS,33.909,74.577,411.163,92.566,29.742,49.891,0.991,29.246,35.419,29.544,38.836,11.138,5.32,5.656,96.397,379.617,80.775,33.807,86.956,1.095,0,61.041,0.04,1,4.571,0.939,0.867,2.046,12,0,96.467,0.752,1.553,5.999,Normal
EVR_000067,CS_0163,2024-01-01 05:30:00,DC_Fast,Type_2,32.332,61.586,395.54,93.42,30.934,50.168,0.95,15.194,78.934,41.149,37.429,12.403,3.206,37.147,98.213,324.159,91.759,30.257,92.53,21.074,0,48.442,0.761,0,2.167,0.98,0.931,3.005,10,0,90.782,2.114,1.689,2.965,Normal
EVR_000068,CS_0264,2024-01-01 05:35:00,DC_Fast,Type_2,18.834,69.471,392.448,103.478,31.703,49.957,0.979,28.918,74.143,38.075,35.817,15.397,2.954,20.084,88.603,382.436,64.93,28.564,91.277,18.141,0,89.4,0.281,0,3.165,0.986,0.649,4.888,5,1,95.995,2.383,1.545,4.768,Equipment_Degradation
EVR_000069,CS_0068,2024-01-01 05:40:00,Ultra_Fast,Type_2,28.672,51.611,399.663,66.141,22.419,50.001,0.975,12.611,119.761,47.223,41.062,11.572,5.448,44.3,84.706,367.23,55.315,24.809,91.102,20.269,0,15.579,0.416,0,1.177,0.965,0.932,1.77,7,0,99.0,2.086,0.548,3.131,Normal
EVR_000070,CS_0107,2024-01-01 05:45:00,AC_Level_2,CCS,30.767,60.195,401.667,70.065,27.029,50.022,0.959,32.522,101.949,22.585,46.289,12.24,2.426,22.356,81.341,392.437,67.687,32.516,91.628,26.958,0,143.304,9.327,12,1.971,0.673,0.89,1.133,14,0,98.443,1.824,0.162,5.054,Cybersecurity_Incident
EVR_000071,CS_0067,2024-01-01 05:50:00,Ultra_Fast,Type_2,27.679,67.376,400.362,117.136,18.841,50.094,0.984,41.029,50.533,51.883,23.326,10.644,3.7,6.003,96.15,342.947,73.925,23.616,83.773,20.878,0,31.007,0.642,1,1.941,0.987,0.66,5.878,7,0,89.973,1.165,2.69,0.5,Equipment_Degradation
EVR_000072,CS_0199,2024-01-01 05:55:00,Ultra_Fast,CCS,28.508,89.262,403.839,79.001,42.267,50.011,0.937,11.535,23.198,38.704,23.104,11.029,0.471,42.012,66.387,410.298,56.931,31.882,89.52,18.48,0,19.894,0.163,0,2.965,0.949,0.856,1.819,4,0,92.481,1.38,2.293,2.368,Normal
EVR_000073,CS_0192,2024-01-01 06:00:00,DC_Fast,CCS,24.171,40.405,388.529,93.801,29.913,50.021,0.96,31.312,69.334,55.743,45.719,9.06,6.465,54.325,81.701,346.347,49.508,27.865,79.767,13.344,0,38.234,0.389,0,0.346,0.997,0.906,1.871,7,1,87.495,1.201,0.408,6.631,Normal
EVR_000074,CS_0002,2024-01-01 06:05:00,DC_Fast,CCS,34.814,52.434,408.625,63.132,39.761,49.919,0.939,19.226,71.592,57.658,30.445,11.19,5.813,43.933,91.299,384.851,82.274,35.653,89.207,35.819,1,102.3,0.04,0,1.831,0.996,0.691,6.478,7,1,92.633,1.581,3.273,4.517,Equipment_Degradation
EVR_000075,CS_0257,2024-01-01 06:10:00,AC_Level_2,Type_2,23.653,53.927,405.197,79.452,25.802,50.007,0.991,17.933,64.133,44.707,42.917,10.05,1.715,23.575,65.972,371.23,68.274,53.275,81.088,79.959,7,46.369,0.888,0,2.522,0.952,0.988,0.82,5,0,91.918,1.766,3.571,2.077,Battery_Anomaly
EVR_000076,CS_0001,2024-01-01 06:15:00,Ultra_Fast,CHAdeMO,35.603,65.16,409.829,44.443,28.261,49.916,0.979,50.822,43.372,45.747,45.132,14.365,5.423,64.004,81.617,363.625,35.754,50.634,73.166,52.714,5,61.054,0.293,0,2.789,1.0,0.897,1.65,4,0,97.141,1.562,0.753,2.82,Battery_Anomaly
