date,start_hour,city,station_id,charger_kw,session_minutes,energy_kwh,price_per_kwh,session_cost,grid_load_mw,peak_hour
2021-06-13,15,Denver,ST0030,11,70,22.86,0.25,5.72,5278.76,0
2024-05-12,13,Chicago,ST0044,150,43,6.95,0.15,1.04,4661.53,0
2023-06-14,11,Chicago,ST0390,100,77,20.09,0.19,3.82,4865.73,0
2019-05-31,23,Phoenix,ST0338,50,16,25.74,0.22,5.66,4572.19,0
2024-03-01,20,San Francisco,ST0136,100,48,20.76,0.22,4.57,4790.38,1
2024-10-20,18,Madrid,ST0494,11,58,32.89,0.13,4.28,6058.08,1
2024-01-18,8,Sydney,ST0374,150,41,25.86,0.24,6.21,4452.1,0
2020-04-03,16,Seoul,ST0160,50,35,19.25,0.28,5.39,5075.52,0
2025-07-14,14,Tokyo,ST0192,50,62,26.98,0.28,7.55,5202.72,0
2023-10-21,13,Rome,ST0062,11,33,25.7,0.26,6.68,4852.34,0
2020-07-09,18,Chicago,ST0174,7,70,23.44,0.26,6.09,4852.67,1
2024-08-06,16,Oslo,ST0118,100,66,30.05,0.28,8.41,5592.93,0
2020-06-21,18,Los Angeles,ST0037,150,58,23.41,0.24,5.62,4888.56,1
2025-01-28,18,New York,ST0118,7,56,20.63,0.37,7.63,4439.51,1
2018-05-09,11,London,ST0037,100,68,30.12,0.26,7.83,5154.65,0
2020-09-01,17,Boston,ST0343,50,27,21.62,0.17,3.68,5414.04,1
2020-05-27,17,Oslo,ST0068,150,28,19.75,0.25,4.94,4637.15,1
2024-05-27,13,Helsinki,ST0243,11,49,25.1,0.18,4.52,4624.9,0
2023-04-22,19,Madrid,ST0098,7,16,12.88,0.17,2.19,4824.81,1
2019-02-02,19,Osaka,ST0221,22,74,31.17,0.21,6.55,4995.17,1
2022-10-01,12,Madrid,ST0240,150,44,21.84,0.24,5.24,4413.73,0
2018-08-10,20,Osaka,ST0335,150,75,26.46,0.25,6.61,5350.9,1
2019-02-08,15,New York,ST0207,150,49,23.94,0.23,5.51,4509.27,0
2021-10-21,18,Houston,ST0128,11,54,31.74,0.29,9.2,6063.53,1
2020-02-19,14,Oslo,ST0230,11,62,26.36,0.37,9.75,4481.28,0
2022-09-25,13,San Francisco,ST0143,50,33,11.34,0.18,2.04,4425.8,0
2020-10-20,18,Chicago,ST0227,100,51,33.5,0.29,9.72,4705.55,1
2019-02-06,13,New York,ST0334,100,54,17.88,0.35,6.26,5421.24,0
2018-03-02,15,Chicago,ST0475,11,10,25.97,0.21,5.45,5522.79,0
2019-11-13,10,Madrid,ST0249,50,33,21.99,0.22,4.84,4562.91,0
2020-05-25,21,Berlin,ST0463,7,23,20.05,0.23,4.61,5257.41,1
2019-11-06,21,Berlin,ST0002,50,22,12.97,0.31,4.02,5138.03,1
2020-12-22,14,Rome,ST0147,50,76,27.7,0.3,8.31,4924.55,0
2025-10-24,23,Singapore,ST0402,100,80,26.36,0.29,7.64,5388.11,0
2025-06-04,23,Seoul,ST0250,11,25,24.43,0.29,7.08,4178.35,0
2020-02-17,12,Miami,ST0112,7,10,17.85,0.27,4.82,5562.59,0
2024-06-30,18,Singapore,ST0278,7,77,20.34,0.1,2.03,4913.58,1
2021-07-08,19,New York,ST0026,100,44,12.94,0.21,2.72,4279.54,1
2023-05-07,21,Stockholm,ST0471,100,52,19.54,0.18,3.52,4468.56,1
2019-10-07,17,New York,ST0492,100,64,20.75,0.26,5.4,4657.88,1
2018-11-25,14,San Francisco,ST0036,100,42,17.86,0.18,3.22,4252.52,0
2018-10-06,23,Osaka,ST0442,11,45,19.9,0.23,4.58,4983.44,0
2022-07-12,16,Houston,ST0483,100,57,28.63,0.18,5.15,4646.6,0
2020-10-05,16,Helsinki,ST0305,7,10,11.62,0.32,3.72,5688.98,0
2024-12-11,16,Chicago,ST0215,150,56,26.28,0.44,11.56,5484.89,0
2024-07-18,17,Helsinki,ST0268,22,25,12.97,0.23,2.98,4513.7,1
2020-12-04,10,Seattle,ST0343,150,32,16.43,0.34,5.59,5206.55,0
2021-07-10,17,Denver,ST0136,50,74,27.27,0.16,4.36,5710.63,1
2019-06-21,20,Osaka,ST0331,22,24,19.93,0.16,3.19,4288.31,1
2023-02-16,22,London,ST0476,7,83,20.97,0.26,5.45,4698.55,0
2018-02-08,15,Rome,ST0319,100,33,17.64,0.22,3.88,4455.09,0
2019-02-14,19,Chicago,ST0276,11,43,21.97,0.16,3.51,4679.48,1
2023-09-04,21,Boston,ST0068,22,55,19.71,0.23,4.53,5374.54,1
2018-10-09,9,Denver,ST0190,22,55,21.29,0.26,5.53,4383.52,0
2019-10-09,8,Rome,ST0427,100,12,19.68,0.24,4.72,4286.56,0
2025-11-21,21,Miami,ST0314,150,11,18.99,0.14,2.66,4670.04,1
2023-12-07,18,Los Angeles,ST0342,100,27,19.32,0.29,5.6,4648.82,1
2021-05-11,22,Osaka,ST0054,11,22,23.29,0.32,7.45,3797.33,0
2020-12-19,14,Houston,ST0456,7,56,23.7,0.25,5.93,4572.83,0
2024-03-16,18,Phoenix,ST0140,22,41,28.76,0.24,6.9,5143.84,1
2024-10-13,15,Seattle,ST0368,22,35,20.04,0.25,5.01,4669.66,0
2020-04-13,19,Osaka,ST0325,22,86,32.68,0.2,6.54,5611.31,1
2023-09-02,15,Amsterdam,ST0129,7,10,14.16,0.09,1.27,4680.88,0
2019-01-14,18,Tokyo,ST0217,22,78,28.99,0.2,5.8,5390.68,1
2018-06-30,6,Los Angeles,ST0171,11,49,27.73,0.12,3.33,5302.81,0
2025-02-22,19,Boston,ST0083,150,36,25.48,0.38,9.68,5072.87,1
2022-12-15,19,Oslo,ST0362,50,35,17.95,0.28,5.03,4523.76,1
2024-04-16,18,Los Angeles,ST0058,7,35,24.59,0.24,5.9,5477.15,1
2025-10-01,15,Phoenix,ST0280,7,39,17.79,0.19,3.38,5059.79,0
2022-02-21,21,Helsinki,ST0283,11,26,25.47,0.31,7.9,5228.59,1
2022-10-27,23,Phoenix,ST0022,22,29,15.26,0.1,1.53,5769.05,0
2022-02-02,21,New York,ST0461,22,43,24.56,0.14,3.44,6241.12,1
2020-05-10,18,Osaka,ST0128,150,47,27.27,0.25,6.82,5081.02,1
2019-02-26,14,Paris,ST0400,100,54,33.89,0.31,10.51,5712.15,0
2022-07-23,15,Dublin,ST0384,11,25,20.37,0.22,4.48,5428.58,0
2020-08-27,9,San Francisco,ST0500,11,75,26.21,0.19,4.98,4278.79,0
2022-08-16,9,Los Angeles,ST0092,150,61,25.69,0.13,3.34,4135.21,0
2021-09-22,16,Madrid,ST0411,150,78,26.06,0.11,2.87,4801.38,0
2020-10-13,16,Boston,ST0082,150,10,18.93,0.2,3.79,5243.82,0
2019-03-19,23,Berlin,ST0447,7,67,24.7,0.14,3.46,6345.46,0
2023-04-12,18,Denver,ST0103,50,45,23.28,0.23,5.35,4880.94,1
2021-12-03,15,Miami,ST0421,11,34,21.92,0.18,3.94,4531.24,0
2020-07-02,18,Los Angeles,ST0338,11,39,30.2,0.08,2.42,5526.55,1
2022-06-21,23,London,ST0143,7,10,17.49,0.19,3.32,4326.19,0
2021-02-17,14,Paris,ST0329,100,22,29.4,0.29,8.53,5533.38,0
2022-06-26,21,Osaka,ST0432,100,22,18.02,0.25,4.5,4381.01,1
2021-09-18,21,Los Angeles,ST0060,22,40,20.93,0.27,5.65,5225.84,1
2020-01-02,16,Helsinki,ST0493,22,68,20.75,0.26,5.4,5199.57,0
2018-06-06,16,Houston,ST0306,50,51,17.86,0.28,5.0,4799.01,0
2021-11-16,15,Singapore,ST0403,22,65,22.28,0.12,2.67,4110.8,0
2022-11-23,21,Dublin,ST0262,7,19,29.05,0.08,2.32,5884.44,1
2022-04-27,19,Helsinki,ST0098,22,43,20.44,0.25,5.11,4942.92,1
2018-07-01,23,Seoul,ST0224,7,47,24.39,0.19,4.63,5029.09,0
2023-10-31,19,Oslo,ST0352,150,10,12.46,0.27,3.36,5015.27,1
2025-07-09,17,Seattle,ST0187,50,45,25.14,0.18,4.52,4551.4,1
2018-10-14,18,Osaka,ST0472,22,25,23.04,0.1,2.3,5466.74,1
2024-12-27,20,London,ST0340,7,50,28.91,0.34,9.83,5522.84,1
2021-05-15,8,Stockholm,ST0159,150,19,17.16,0.22,3.77,4987.45,0
2022-07-31,14,London,ST0207,150,48,19.98,0.18,3.6,4156.6,0
2021-04-26,13,Oslo,ST0066,11,17,15.16,0.29,4.4,4345.94,0
2022-09-19,23,Osaka,ST0482,50,54,25.4,0.16,4.06,5411.77,0
2025-08-06,15,Singapore,ST0463,11,47,36.44,0.21,7.65,5520.4,0
2024-11-26,14,Helsinki,ST0155,50,44,32.13,0.18,5.78,5814.76,0
2024-02-23,21,Los Angeles,ST0156,22,33,25.12,0.29,7.29,5331.39,1
2020-05-10,10,Madrid,ST0403,100,30,20.36,0.21,4.28,5091.79,0
2024-10-20,18,Tokyo,ST0165,50,18,22.06,0.26,5.74,5228.14,1
2022-12-15,23,Rome,ST0346,11,61,27.62,0.22,6.08,4239.98,0
2023-09-25,20,Amsterdam,ST0407,150,49,25.24,0.13,3.28,4460.42,1
2019-11-27,23,Osaka,ST0044,22,44,26.69,0.22,5.87,5081.63,0
2023-10-13,22,Osaka,ST0325,100,34,22.56,0.19,4.29,4812.99,0
2021-10-04,16,Chicago,ST0420,11,49,21.49,0.31,6.66,4458.64,0
2025-07-18,17,Miami,ST0116,11,36,29.55,0.23,6.8,5474.14,1
2019-08-27,10,Los Angeles,ST0024,11,50,28.45,0.23,6.54,5346.53,0
2023-05-01,15,Dublin,ST0436,7,73,38.25,0.19,7.27,4730.27,0
2023-02-09,23,Madrid,ST0454,150,76,24.51,0.19,4.66,4917.13,0
2024-06-15,11,Seattle,ST0368,150,26,16.1,0.17,2.74,4767.05,0
2022-04-22,19,Amsterdam,ST0205,11,76,22.13,0.29,6.42,4861.52,1
2019-08-28,17,Tokyo,ST0353,7,58,19.35,0.25,4.84,5000.61,1
2019-03-13,20,Sydney,ST0218,11,50,36.28,0.18,6.53,4779.61,1
2019-12-22,14,Seoul,ST0266,50,33,18.77,0.3,5.63,5565.34,0
2018-07-25,15,Oslo,ST0128,7,28,23.72,0.18,4.27,5211.33,0
2023-02-13,19,Phoenix,ST0411,50,14,27.42,0.35,9.6,4683.28,1
2025-06-27,16,Stockholm,ST0287,100,50,25.67,0.27,6.93,5927.79,0
2021-07-23,17,Sydney,ST0457,50,29,14.58,0.17,2.48,4881.77,1
2024-11-14,23,Singapore,ST0457,100,34,23.2,0.22,5.1,5646.99,0
2022-10-14,23,Oslo,ST0229,11,34,19.63,0.29,5.69,5379.48,0
2023-04-29,23,Rome,ST0133,11,56,22.92,0.26,5.96,5606.05,0
2025-02-24,22,Boston,ST0393,100,55,29.93,0.3,8.98,5750.81,0
2023-06-08,21,Tokyo,ST0123,22,41,23.65,0.3,7.1,4606.15,1
2022-12-07,19,Chicago,ST0366,22,37,22.58,0.31,7.0,5065.88,1
2020-08-18,18,Boston,ST0172,22,17,23.77,0.27,6.42,6036.71,1
2024-01-22,16,Chicago,ST0071,11,49,25.13,0.33,8.29,4872.86,0
2020-08-05,19,Berlin,ST0356,11,57,25.77,0.19,4.9,5080.14,1
2025-12-03,23,Seattle,ST0033,50,24,21.54,0.17,3.66,5643.7,0
2022-07-28,10,London,ST0278,50,33,23.85,0.33,7.87,4762.51,0
2022-08-31,15,New York,ST0106,50,82,20.6,0.08,1.65,5102.41,0
2022-05-15,15,Sydney,ST0300,150,24,24.42,0.24,5.86,4615.65,0
2018-03-22,11,Sydney,ST0295,50,62,28.69,0.21,6.03,5758.08,0
2023-05-08,12,Los Angeles,ST0483,22,14,16.22,0.22,3.57,4926.55,0
2021-05-08,16,Sydney,ST0200,50,52,17.98,0.32,5.75,4850.85,0
2024-01-14,23,Singapore,ST0377,100,51,26.4,0.26,6.86,5289.47,0
2024-10-06,21,Denver,ST0250,11,71,27.5,0.27,7.43,4985.14,1
2021-01-22,23,Madrid,ST0249,7,31,30.72,0.22,6.76,4367.51,0
2022-05-12,18,London,ST0343,150,31,25.92,0.17,4.41,4740.6,1
2022-07-15,8,Singapore,ST0085,50,35,10.08,0.11,1.11,5080.53,0
2019-06-07,21,Dublin,ST0274,7,53,19.53,0.22,4.3,4996.3,1
2022-06-02,12,Helsinki,ST0289,150,75,31.39,0.2,6.28,4878.99,0
2018-04-22,19,Chicago,ST0330,50,10,17.96,0.17,3.05,4451.05,1
2019-07-10,16,Rome,ST0094,7,80,30.8,0.18,5.54,5229.51,0
2020-12-01,23,Berlin,ST0168,11,63,25.86,0.17,4.4,5412.54,0
2023-02-06,19,London,ST0173,50,62,28.62,0.29,8.3,4726.85,1
2021-02-13,23,Sydney,ST0488,50,48,34.14,0.17,5.8,5964.53,0
2020-10-30,18,Chicago,ST0241,7,31,19.3,0.2,3.86,5149.29,1
2024-01-19,20,New York,ST0488,22,33,21.84,0.37,8.08,5851.12,1
2020-07-07,20,Tokyo,ST0036,150,45,24.0,0.26,6.24,4484.6,1
2018-06-14,16,Sydney,ST0016,11,11,21.32,0.27,5.76,4663.67,0
2020-03-27,23,Los Angeles,ST0319,11,20,13.08,0.24,3.14,5535.86,0
2020-09-04,23,Phoenix,ST0243,150,35,27.59,0.22,6.07,4984.06,0
2019-04-14,22,Helsinki,ST0486,11,58,17.08,0.32,5.46,5698.36,0
2023-03-20,14,Seoul,ST0132,22,52,26.71,0.24,6.41,4611.69,0
2019-11-19,14,Dublin,ST0311,150,44,29.14,0.26,7.58,4711.27,0
2019-04-15,21,Sydney,ST0420,11,10,24.94,0.1,2.49,4838.55,1
2021-06-28,12,Houston,ST0297,7,19,26.08,0.19,4.96,5017.59,0
2021-07-01,17,Helsinki,ST0347,50,54,24.86,0.13,3.23,5437.59,1
2022-06-13,15,Seoul,ST0102,7,13,17.42,0.33,5.75,5294.79,0
2024-08-22,16,Seoul,ST0426,150,38,20.95,0.37,7.75,5094.78,0
2020-09-21,20,Houston,ST0357,22,65,26.99,0.2,5.4,4909.8,1
2025-09-03,17,Dublin,ST0413,7,44,26.92,0.22,5.92,5313.99,1
2024-05-07,17,New York,ST0178,100,46,13.53,0.28,3.79,5067.36,1
2022-10-21,22,Osaka,ST0190,7,10,29.64,0.21,6.22,5612.66,0
2023-09-04,12,Tokyo,ST0175,7,57,19.57,0.18,3.52,5775.31,0
2022-09-17,17,Amsterdam,ST0055,50,49,28.23,0.25,7.06,5028.13,1
2022-01-23,19,Tokyo,ST0457,50,93,28.87,0.23,6.64,5520.81,1
2025-12-07,23,Phoenix,ST0223,11,68,29.35,0.14,4.11,5894.13,0
2023-11-08,12,Tokyo,ST0139,100,51,20.35,0.22,4.48,4985.78,0
2024-01-14,19,Sydney,ST0248,50,53,32.43,0.25,8.11,4887.64,1
2022-11-20,22,Singapore,ST0304,22,68,20.02,0.26,5.21,5370.67,0
2021-08-13,16,Denver,ST0426,7,72,25.89,0.23,5.95,4837.02,0
2021-02-16,18,Rome,ST0125,50,23,13.56,0.33,4.47,4490.76,1
2024-05-23,13,Dublin,ST0343,50,10,16.01,0.13,2.08,5645.03,0
2021-10-09,23,Los Angeles,ST0254,22,31,32.98,0.29,9.56,4929.51,0
2020-01-15,5,Amsterdam,ST0109,22,90,21.85,0.1,2.19,5198.69,0
2020-11-24,23,London,ST0144,100,72,29.46,0.26,7.66,5504.55,0
2025-11-12,21,Boston,ST0285,7,50,24.52,0.22,5.39,4641.1,1
2023-10-18,16,Seattle,ST0044,11,11,18.83,0.15,2.82,4343.52,0
2022-07-23,18,Amsterdam,ST0285,11,72,31.23,0.11,3.44,4490.11,1
2025-09-29,22,Amsterdam,ST0331,150,25,19.88,0.26,5.17,4535.34,0
2023-07-04,18,Rome,ST0406,7,18,17.15,0.24,4.12,4132.12,1
2019-01-17,20,Miami,ST0114,50,44,26.04,0.24,6.25,5686.24,1
2025-10-04,18,Denver,ST0157,150,36,22.93,0.26,5.96,4976.16,1
2024-07-10,18,Paris,ST0243,100,30,18.29,0.12,2.19,5807.93,1
2023-12-15,11,Paris,ST0218,150,31,18.13,0.28,5.08,4645.04,0
2024-03-04,23,London,ST0181,150,31,23.11,0.16,3.7,6125.03,0
2023-02-02,12,Boston,ST0157,22,51,27.29,0.25,6.82,4756.51,0
2020-08-02,17,Houston,ST0370,11,45,22.66,0.29,6.57,6035.92,1
2021-07-16,15,Houston,ST0381,100,17,19.6,0.4,7.84,4476.56,0
2025-09-27,23,San Francisco,ST0099,11,78,24.59,0.26,6.39,5872.57,0
2023-06-07,16,Boston,ST0371,100,40,19.89,0.15,2.98,4574.93,0
2023-11-19,11,Dublin,ST0145,7,45,19.55,0.24,4.69,4020.25,0
2020-03-06,19,Miami,ST0117,22,61,15.35,0.25,3.84,5555.24,1
2020-01-05,11,Miami,ST0008,150,78,29.46,0.17,5.01,4809.94,0
2023-12-28,20,Phoenix,ST0141,7,46,26.21,0.16,4.19,5089.54,1
2018-08-12,10,Oslo,ST0150,150,42,18.52,0.17,3.15,5392.13,0
2019-06-02,23,Tokyo,ST0445,50,57,19.38,0.2,3.88,5644.06,0
2019-02-25,18,Los Angeles,ST0294,22,91,30.89,0.23,7.1,4828.99,1
2023-04-07,18,Amsterdam,ST0226,22,41,26.46,0.29,7.67,4572.85,1
2020-01-26,11,New York,ST0130,50,10,21.74,0.14,3.04,3730.51,0
2019-04-13,19,Chicago,ST0206,50,94,29.25,0.28,8.19,5037.91,1
2018-10-31,17,Helsinki,ST0323,150,63,24.11,0.24,5.79,5097.28,1
2018-08-08,14,Phoenix,ST0077,100,64,24.81,0.17,4.22,5147.48,0
2021-05-29,13,Chicago,ST0128,7,45,23.35,0.3,7.01,5090.77,0
2024-04-04,17,Sydney,ST0214,100,61,32.27,0.26,8.39,4974.26,1
2024-09-07,11,Dublin,ST0116,100,23,19.23,0.18,3.46,4703.45,0
2022-04-08,18,Rome,ST0466,50,55,24.25,0.25,6.06,4989.23,1
2021-05-02,8,Helsinki,ST0220,22,26,20.4,0.14,2.86,5041.56,0
2024-05-18,23,Dublin,ST0031,100,69,25.21,0.32,8.07,5135.18,0
2019-02-11,16,Sydney,ST0107,150,32,20.33,0.19,3.86,4986.52,0
2020-05-14,18,Boston,ST0339,7,45,25.58,0.3,7.68,5437.12,1
2019-10-06,10,Denver,ST0089,100,10,23.87,0.12,2.86,4683.1,0
2018-11-04,12,San Francisco,ST0002,50,10,21.91,0.27,5.91,4539.37,0
2023-01-20,5,Seoul,ST0305,50,34,24.04,0.12,2.88,4787.84,0
2021-04-07,17,New York,ST0119,22,56,25.32,0.15,3.8,5539.56,1
2025-12-05,17,Miami,ST0360,50,44,18.61,0.19,3.54,4472.05,1
2018-10-19,17,Osaka,ST0120,22,79,20.62,0.11,2.27,5658.07,1
2025-01-04,16,Helsinki,ST0339,11,31,26.92,0.18,4.85,5840.68,0
2022-10-08,21,Houston,ST0279,11,35,32.99,0.18,5.94,5422.99,1
2025-04-06,19,Phoenix,ST0466,22,71,34.33,0.22,7.55,4640.6,1
2019-08-06,20,Chicago,ST0031,11,31,31.79,0.23,7.31,4844.49,1
2021-06-13,18,Dublin,ST0384,100,18,15.3,0.3,4.59,4592.76,1
2021-03-28,12,Rome,ST0064,50,55,30.53,0.27,8.24,5360.14,0
2025-09-21,14,Miami,ST0359,50,16,27.43,0.2,5.49,4764.29,0
2021-01-20,23,Stockholm,ST0277,50,56,27.0,0.37,9.99,4746.24,0
2022-11-29,22,Chicago,ST0307,7,46,24.86,0.33,8.2,5293.37,0
2022-11-05,20,Singapore,ST0166,100,66,24.1,0.16,3.86,4473.98,1
2020-10-22,8,Los Angeles,ST0047,11,86,22.8,0.2,4.56,4612.81,0
2025-07-24,19,Helsinki,ST0301,7,61,29.62,0.18,5.33,4914.93,1
2025-07-16,19,Boston,ST0296,7,40,30.84,0.25,7.71,5370.79,1
2019-12-19,21,Amsterdam,ST0266,150,68,27.07,0.13,3.52,5228.1,1
2022-12-17,14,Boston,ST0093,100,34,25.01,0.31,7.75,4890.68,0
2022-11-21,19,Tokyo,ST0417,50,79,28.68,0.4,11.47,5277.49,1
2019-01-09,9,Amsterdam,ST0179,50,60,27.11,0.31,8.4,5125.01,0
2021-09-27,17,London,ST0344,7,20,19.35,0.16,3.1,4627.16,1
2019-10-21,20,London,ST0211,150,78,29.33,0.14,4.11,5239.63,1
2023-07-23,23,Miami,ST0340,50,32,21.17,0.22,4.66,4652.23,0
2024-03-03,21,New York,ST0233,7,42,25.14,0.16,4.02,4801.82,1
2021-07-12,21,Boston,ST0166,7,37,31.07,0.19,5.9,5156.64,1
2022-07-14,22,Stockholm,ST0423,7,16,11.12,0.11,1.22,5615.76,0
2025-05-17,15,Oslo,ST0237,50,96,26.7,0.23,6.14,5677.85,0
2018-08-11,23,Seattle,ST0266,22,86,34.36,0.29,9.96,5393.71,0
2024-12-25,21,Sydney,ST0256,150,33,17.87,0.22,3.93,4906.38,1
2022-12-16,15,Sydney,ST0027,11,58,29.74,0.23,6.84,5657.71,0
2020-12-29,12,Oslo,ST0068,22,41,19.34,0.09,1.74,4776.0,0
2022-11-30,17,Seoul,ST0249,7,75,30.15,0.15,4.52,5887.66,1
2018-04-29,23,Tokyo,ST0312,11,56,23.59,0.15,3.54,4868.25,0
2025-12-17,23,San Francisco,ST0160,100,82,35.56,0.19,6.76,4542.42,0
2018-02-26,18,Oslo,ST0209,7,10,20.82,0.21,4.37,4710.25,1
2020-07-09,10,Houston,ST0237,7,55,21.94,0.14,3.07,3351.61,0
2025-04-07,17,Phoenix,ST0256,150,80,35.91,0.19,6.82,4682.52,1
2021-04-10,20,Stockholm,ST0362,22,25,22.51,0.27,6.08,5603.5,1
2022-08-29,17,Amsterdam,ST0242,11,40,18.41,0.16,2.95,4800.4,1
2023-02-14,19,Oslo,ST0075,50,63,21.54,0.32,6.89,4830.61,1
2020-02-20,17,Dublin,ST0261,150,30,9.48,0.28,2.65,5246.34,1
2019-07-14,16,Chicago,ST0142,50,46,26.1,0.11,2.87,4659.87,0
2021-10-24,21,Stockholm,ST0137,7,19,21.75,0.13,2.83,5240.21,1
2021-03-04,17,Singapore,ST0153,100,12,25.26,0.17,4.29,4535.93,1
2024-07-03,19,Osaka,ST0251,11,67,20.96,0.22,4.61,5178.25,1
2023-01-04,21,Oslo,ST0248,22,48,21.92,0.16,3.51,5050.77,1
2021-09-23,12,Oslo,ST0391,100,10,21.38,0.28,5.99,3644.06,0
2022-03-26,12,Rome,ST0478,22,57,35.13,0.22,7.73,4516.51,0
2020-02-12,17,Seoul,ST0123,100,72,23.41,0.16,3.75,4692.27,1
2022-04-18,13,Denver,ST0439,50,47,31.76,0.24,7.62,4760.88,0
2018-06-28,16,London,ST0382,50,13,23.98,0.21,5.03,4825.66,0
2025-11-28,23,Berlin,ST0198,150,50,20.24,0.19,3.85,5615.19,0
2025-04-24,18,Phoenix,ST0254,7,16,24.52,0.17,4.17,5894.71,1
2019-06-02,23,Stockholm,ST0495,100,36,28.73,0.22,6.32,5501.29,0
2021-09-21,20,Houston,ST0448,50,28,18.14,0.29,5.26,4805.18,1
2019-02-13,15,Stockholm,ST0467,50,25,23.12,0.36,8.32,4358.71,0
2018-03-04,18,Singapore,ST0074,50,73,26.36,0.25,6.59,4434.25,1
2025-05-05,20,Phoenix,ST0039,50,41,27.85,0.3,8.35,6306.18,1
